territory,year,company_total,company_individual,company_society,company_density,company_nr_cae_a,company_nr_cae_b,company_nr_cae_c,company_nr_cae_d,company_nr_cae_e,company_nr_cae_f,company_nr_cae_g,company_nr_cae_h,company_nr_cae_i,company_nr_cae_j,company_nr_cae_l,company_nr_cae_m,company_nr_cae_n,company_nr_cae_p,company_nr_cae_q,company_nr_cae_r,company_nr_cae_s,company_nr_employee_[<10],company_nr_employee_[10-19],company_nr_employee_[20-49],company_nr_employee_[50-249],company_nr_employee_[>249],company_employee_nr_cae_a,company_employee_nr_cae_b,company_employee_nr_cae_c,company_employee_nr_cae_d,company_employee_nr_cae_e,company_employee_nr_cae_f,company_employee_nr_cae_g,company_employee_nr_cae_h,company_employee_nr_cae_i,company_employee_nr_cae_j,company_employee_nr_cae_l,company_employee_nr_cae_m,company_employee_nr_cae_n,company_employee_nr_cae_p,company_employee_nr_cae_q,company_employee_nr_cae_r,company_employee_nr_cae_s,company_employee_nr_total,company_gva_cae_a,company_gva_cae_b,company_gva_cae_c,company_gva_cae_d,company_gva_cae_e,company_gva_cae_f,company_gva_cae_g,company_gva_cae_h,company_gva_cae_i,company_gva_cae_j,company_gva_cae_l,company_gva_cae_m,company_gva_cae_n,company_gva_cae_p,company_gva_cae_q,company_gva_cae_r,company_gva_cae_s,company_gva_total,company_births_af,company_births_ice,company_births_s,company_births_total
Borba,2020,877,640,237,6.0,195,7,63,2,1,39,206,18,83,5,14,68,71,25,33,15,32,861,12,3,1,0,429,22,301,0,0,84,305,67,115,0,15,98,81,25,35,16,35,1637,3657,-8,7237,0,0,1253,3912,1607,1417,0,164,1212,869,81,246,146,222,22012,10,3,58,71
Borba,2021,905,666,239,6.2,191,5,66,1,1,41,216,17,82,8,11,66,83,26,38,18,35,890,8,6,1,0,464,10,0,0,0,0,316,71,112,8,13,95,95,26,41,21,39,1680,4038,25,0,0,0,0,4288,1614,1548,77,138,1242,753,127,329,189,256,22758,9,6,82,97
Borba,2022,918,682,236,6.3,191,5,64,1,1,39,221,14,83,5,13,67,85,29,42,19,39,903,12,2,1,0,424,10,273,0,0,0,312,37,130,5,15,94,96,29,48,22,41,1628,4516,24,7696,0,0,0,4776,996,2332,69,126,1696,817,133,482,160,343,25532,11,6,87,104
Borba,2023,917,674,243,6.3,186,5,63,1,1,43,214,14,89,4,15,66,82,28,46,22,38,904,9,3,1,0,382,11,260,0,0,92,308,39,139,5,17,78,96,0,54,23,40,1577,4935,141,8868,0,0,1443,5743,1201,2636,45,248,1150,859,0,566,171,315,28573,13,6,70,89
Borba,2024,910,657,253,6.3,187,5,70,1,2,44,214,17,81,7,14,59,80,25,41,22,41,896,10,3,1,0,374,9,292,0,0,92,310,40,138,9,15,75,91,25,49,24,43,1593,4146,205,7764,0,0,1735,5645,1381,2618,217,409,1260,1040,117,596,300,354,27951,10,14,65,89
Boticas,2016,648,537,111,2.0,296,2,26,6,1,53,96,15,51,3,0,28,22,13,11,7,18,636,9,2,1,0,329,0,155,6,0,123,173,23,107,5,0,35,44,13,12,11,19,1092,1357,0,1853,6178,0,1748,2060,145,1166,49,0,244,473,36,100,28,122,16165,12,10,33,55
Boticas,2017,637,519,118,2.0,285,2,29,6,1,53,93,15,52,5,1,25,22,12,10,7,19,626,7,3,1,0,319,0,149,6,0,121,178,25,106,7,0,31,48,12,11,10,21,1083,1382,0,2352,6192,0,1464,2258,233,1371,58,0,207,598,25,114,24,100,17091,15,7,35,57
Boticas,2018,676,554,122,2.1,304,3,30,5,1,50,102,16,52,5,1,25,29,13,12,6,22,663,8,4,1,0,350,39,141,5,0,109,188,28,100,0,0,30,55,13,13,8,24,1113,1555,649,2196,6939,0,1597,2355,441,1531,0,0,255,524,54,159,41,96,18458,27,11,42,80
Boticas,2019,678,556,122,2.1,292,3,31,5,1,56,95,15,53,4,2,31,28,14,16,11,21,666,6,5,1,0,335,41,144,5,0,131,181,26,87,7,0,34,61,14,17,15,23,1124,1358,358,2935,7325,0,1537,2424,394,1571,38,0,253,810,63,144,52,114,19392,11,13,39,63
Boticas,2020,661,530,131,2.1,277,3,33,6,1,58,97,16,54,3,3,26,29,12,13,8,22,649,7,4,1,0,328,36,150,6,0,130,187,30,99,0,3,30,62,12,14,10,25,1129,1387,589,2065,6499,0,1803,2266,442,927,0,23,254,792,43,53,-3,49,17180,16,10,30,56
Boticas,2021,665,529,136,2.1,276,4,35,8,1,59,97,16,52,3,3,30,28,10,13,7,23,654,6,4,1,0,336,31,165,8,0,138,178,31,95,0,3,34,40,10,13,9,30,1128,1981,320,2511,6376,0,1862,2690,470,881,0,144,317,312,42,31,5,23,18000,18,14,32,64
Boticas,2022,682,539,143,2.1,280,4,39,9,1,60,103,17,52,3,5,28,28,10,9,10,24,671,6,4,1,0,332,0,204,9,0,150,187,30,100,4,5,32,37,10,9,11,30,1165,2067,0,3958,7498,0,1966,2724,650,1773,-7,128,349,290,44,21,12,10,20095,20,7,33,60
Boticas,2023,702,541,161,2.2,280,6,38,9,1,65,104,16,53,3,8,30,35,10,9,10,25,692,5,4,1,0,332,20,213,9,0,148,195,32,103,0,9,33,46,10,9,12,27,1203,2465,-749,4627,8035,0,2276,2738,587,1834,0,18,331,387,34,20,8,261,22885,27,13,45,85
Boticas,2024,730,560,170,2.3,281,5,39,11,1,75,107,16,54,4,9,29,38,10,11,10,30,717,8,4,1,0,332,29,202,11,0,183,206,36,103,0,12,33,52,10,11,11,33,1270,2596,-347,5464,5390,0,3776,2829,697,1963,0,19,424,451,28,53,22,37,23419,24,15,38,77
Braga,2016,20072,12569,7503,109.4,600,17,1212,71,25,1392,4039,205,1303,377,774,2665,2383,1392,2077,400,1140,19099,529,311,121,12,728,132,14267,73,817,8581,13138,2334,4067,1945,1211,5008,4538,1990,5786,666,1729,67010,2853,1350,368686,1397,29037,186784,253067,57053,46870,53638,32054,90164,62451,9798,130328,6537,12740,1344806,75,300,2572,2947
Braga,2017,20920,13105,7815,114.1,622,18,1194,69,23,1467,4035,210,1401,397,887,2821,2508,1398,2234,441,1195,19918,539,325,124,14,758,140,15172,71,807,8641,13485,2411,4319,2015,1367,5445,5503,1870,6184,756,1815,70759,3777,715,411654,11183,29067,217398,289667,64652,56837,60934,41850,102195,77842,11466,142572,6221,14237,1542264,73,248,2740,3061
Braga,2018,21919,13526,8393,119.5,638,19,1224,68,22,1575,4119,264,1484,450,981,2921,2687,1451,2289,468,1259,20847,583,338,137,14,770,147,16156,70,852,9502,14192,2841,4671,2227,1490,5514,6276,2025,6380,769,1897,75779,3961,-479,459148,647,29096,231653,332198,65192,63387,70502,44097,112107,79327,11701,147720,10869,15878,1677003,85,339,3038,3462
Braga,2019,22982,13994,8988,125.3,629,18,1245,65,23,1692,4158,408,1534,503,1088,3053,2865,1477,2354,515,1355,21851,593,378,142,18,0,0,16720,67,834,10691,14813,3058,4952,2537,1622,5729,6308,2193,8689,941,2000,82100,0,0,517662,1179,30221,286416,373155,79252,69210,90714,55578,117964,89113,12123,171869,16593,16979,1931669,57,326,3306,3689
Braga,2020,23036,13752,9284,125.6,623,19,1219,68,24,1760,4198,467,1485,493,1101,3148,2669,1435,2447,538,1342,21910,625,336,149,16,760,153,16183,70,857,11550,14586,3061,4718,2813,1694,5954,5893,2158,5849,917,1831,79047,4428,2728,433113,1124,28948,329595,336058,70582,39015,105484,68336,122924,74224,10948,62407,9284,10873,1710069,48,260,2638,2946
Braga,2021,24124,14403,9721,131.5,620,18,1242,71,24,1867,4241,521,1479,585,1196,3323,2947,1437,2590,570,1393,22977,619,355,157,16,749,144,16798,89,943,12449,14449,3094,4693,3101,1833,6312,6613,2199,4231,1035,1870,80602,4296,2613,521886,1446,33029,359812,375622,79954,50837,116815,78875,138258,90555,14510,79698,6971,12743,1967921,46,323,3148,3517
Braga,2022,25952,15796,10156,141.5,607,17,1294,109,26,1939,4321,638,1513,739,1272,3490,3426,1553,2781,680,1547,24736,638,391,172,15,742,143,17506,135,950,12320,14894,3316,5098,3300,1967,6655,7993,2343,4586,1227,2033,85208,4287,4706,591118,2087,34934,374489,430149,89839,84854,133670,98826,167628,120283,17040,95561,10197,17445,2277113,55,381,3916,4352
Braga,2023,27617,16995,10622,150.6,587,15,1309,92,26,2038,4388,840,1534,843,1369,3669,3946,1598,2936,749,1678,26337,700,381,183,16,714,153,18107,119,977,13141,15184,3737,5359,3513,2126,7112,8968,2415,4893,1395,2216,90129,4759,4405,640456,2184,36091,481084,461096,99134,96114,159100,113528,184244,148123,21910,108996,10243,19962,2591429,46,372,4226,4644
Braga,2024,29115,18012,11103,158.8,587,16,1318,94,25,2158,4448,1093,1556,940,1427,3838,4299,1660,3016,793,1847,27798,700,411,184,22,797,148,18313,135,1039,13978,15682,4461,5623,3827,2230,7275,9528,2623,4947,1848,2407,94861,4945,4825,650661,2115,37956,547839,495024,120237,110196,191923,132999,204671,158451,27498,118914,20266,22296,2850819,49,415,4393,4857
Bragança,2016,5684,4602,1082,4.8,2792,5,131,28,0,303,668,57,349,34,52,305,233,196,286,65,180,5584,71,23,5,1,2866,7,1178,28,0,865,1896,194,824,59,88,443,275,240,441,75,250,9729,7320,-41,63022,634,0,10952,30609,4425,9256,1068,1141,5808,1590,609,6140,1109,1667,145308,222,60,312,594
Bragança,2017,5571,4460,1111,4.7,2589,4,135,29,0,306,670,56,370,29,57,311,231,223,304,70,187,5465,73,27,5,1,2665,0,1411,0,0,896,1961,198,889,57,92,468,270,271,458,80,262,10013,5086,0,69616,0,0,14880,34230,3992,10792,1085,3452,6426,1876,789,6313,1584,1801,162192,165,39,353,557
Bragança,2018,6188,5074,1114,5.3,2869,4,158,40,0,353,714,64,427,35,59,343,262,259,327,76,198,6080,68,32,7,1,2949,0,1509,40,0,919,2097,194,1022,58,92,504,309,310,499,0,270,10867,8580,0,75200,532,0,14025,35595,3776,12719,1014,2939,6708,1966,1252,6842,0,1899,175022,273,115,532,920
Bragança,2019,6332,5167,1165,5.4,2935,4,165,41,1,370,711,66,428,33,70,358,276,257,334,75,208,6225,64,33,9,1,3034,0,1500,41,0,997,2115,171,1022,57,120,550,388,304,532,87,298,11223,9878,0,67994,480,0,13853,39287,4017,13484,1344,2240,8036,3330,494,7729,2143,2379,176709,247,55,374,676
Bragança,2020,6343,5131,1212,5.4,2940,5,153,49,1,372,698,66,422,35,73,362,279,263,355,66,204,6237,62,35,8,1,3030,0,1451,49,0,1006,2084,161,961,62,126,555,376,309,586,81,293,11143,9743,0,58692,674,0,18416,39574,3966,8056,927,2141,8483,3136,443,7745,347,2078,164222,225,41,344,610
Bragança,2021,6570,5292,1278,5.6,2974,5,156,37,1,406,687,83,414,43,87,385,344,290,369,83,206,6447,73,37,12,1,3062,17,1452,37,0,1197,2102,183,965,0,148,580,461,338,663,100,309,11691,9046,82,63253,510,0,23121,44792,4013,10696,0,2817,8474,3979,540,10635,1503,1800,186430,216,54,448,718
Bragança,2022,6399,5074,1325,5.5,2587,6,150,48,1,418,674,91,424,56,92,402,387,332,418,85,228,6271,81,34,12,1,2676,20,1385,0,0,1409,2119,169,1024,94,150,629,429,385,754,102,317,11712,6229,-1115,60674,0,0,25466,49013,3035,14986,1704,3550,10066,2900,850,11577,2558,2642,194618,132,52,482,666
Bragança,2023,6712,5335,1377,5.7,2812,6,150,42,2,433,695,106,435,65,94,420,400,324,401,88,239,6580,87,33,11,1,2893,0,1354,42,0,1204,2085,181,1065,113,153,681,447,368,706,112,355,11798,8943,0,59561,2914,0,24050,48725,3875,17826,2272,3875,12307,3369,1608,11912,3069,3278,208341,283,60,462,805
Bragança,2024,7052,5612,1440,6.0,2882,5,163,40,1,468,687,131,443,65,110,437,506,338,422,101,253,6913,92,35,11,1,2960,0,1310,40,0,1265,2190,213,1153,116,171,697,569,380,761,129,367,12358,9073,0,66827,2431,0,30761,56032,4572,19171,2965,4881,12707,4232,1050,15354,3055,3512,237450,263,85,578,926
Cabeceiras de Basto,2016,1488,1063,425,6.2,382,2,79,3,0,141,304,48,117,6,35,73,86,73,72,8,59,1422,40,24,2,0,431,0,695,3,0,715,684,183,192,0,58,112,176,81,95,10,69,3557,1533,0,7594,537,0,7269,8467,4733,1587,0,1341,1203,2927,543,901,44,353,39790,49,25,114,188
Cabeceiras de Basto,2017,1530,1085,445,6.3,376,2,83,3,0,141,303,50,129,7,39,78,98,73,80,9,59,1455,44,29,2,0,434,0,703,3,0,759,739,175,213,0,70,120,212,81,104,12,70,3754,1395,0,7798,315,0,8267,9378,4553,2401,0,744,1150,2566,481,949,67,375,41374,40,17,137,194
Cabeceiras de Basto,2018,1649,1182,467,6.8,390,2,94,3,0,162,311,50,140,6,40,83,117,82,98,11,60,1574,47,21,7,0,450,0,774,3,0,773,768,203,244,0,67,127,229,89,126,15,69,4001,1616,0,9122,640,0,9146,10365,5109,2804,0,2080,1290,2146,445,1118,91,376,47388,53,41,163,257
Cabeceiras de Basto,2019,1656,1185,471,6.8,385,4,89,3,0,170,308,49,153,8,40,84,106,82,102,13,60,1577,46,28,5,0,454,76,801,3,0,792,781,0,274,0,64,132,200,89,141,17,66,4121,1702,1296,9404,448,0,10074,11411,0,3061,0,1479,1468,2088,439,1403,139,413,49947,39,24,120,183
Cabeceiras de Basto,2020,1689,1196,493,7.0,415,4,83,3,1,172,313,48,149,8,43,85,102,80,106,15,62,1611,42,31,5,0,472,77,671,3,0,821,861,198,277,0,70,136,169,87,147,19,84,4101,2079,1358,7669,309,0,10487,12655,4578,2026,0,1150,1561,1545,339,1375,67,348,47597,47,28,109,184
Cabeceiras de Basto,2021,1674,1170,504,6.9,394,3,84,3,1,171,312,39,142,7,46,84,115,78,113,15,67,1600,39,32,3,0,0,70,681,3,0,843,763,180,266,7,86,142,176,85,147,17,96,4030,0,1706,9923,174,0,11989,13254,4759,2348,58,1450,1702,1545,404,1643,112,244,53415,33,12,106,151
Cabeceiras de Basto,2022,1767,1237,530,7.3,400,3,84,3,2,173,326,45,154,10,48,92,115,97,116,26,73,1694,35,34,4,0,0,82,704,3,0,868,802,196,297,11,100,139,181,104,153,30,102,4253,0,1572,10668,433,0,13437,14617,5976,3995,70,2226,1934,1834,690,1758,211,567,63185,38,28,138,204
Cabeceiras de Basto,2023,1875,1300,575,7.8,388,3,86,4,2,198,330,49,170,12,57,96,137,97,137,30,79,1796,42,34,3,0,469,0,612,0,0,915,878,216,313,12,112,152,191,105,169,34,107,4375,3076,0,12484,0,0,14308,16892,6519,5021,160,3632,2321,1884,674,2045,298,774,71838,30,34,181,245
Cabeceiras de Basto,2024,1927,1338,589,8.0,384,3,86,3,1,201,334,47,168,12,56,102,162,85,162,29,92,1849,41,34,3,0,476,0,570,4,0,960,863,217,324,13,94,162,201,94,201,36,117,4415,3629,0,10974,274,0,17527,18421,6673,5397,218,2874,2627,1485,568,2544,304,587,75355,25,29,178,232
Cadaval,2016,1762,1398,364,10.1,738,7,56,6,0,105,266,38,81,14,18,105,170,36,34,19,69,1722,23,13,4,0,911,29,424,6,0,271,894,123,147,31,35,159,200,54,48,20,98,3450,10164,547,8272,11,0,2838,16315,2125,1579,932,1058,2057,1673,366,507,10,714,49166,59,26,138,223
Cadaval,2017,1755,1384,371,10.0,689,7,50,7,0,120,273,33,88,11,18,109,170,42,48,25,65,1717,21,13,4,0,875,30,420,7,0,293,950,112,144,30,23,177,204,58,64,25,101,3513,11695,602,8409,10,0,3524,18360,1949,1714,904,853,2448,1728,444,756,96,780,54271,36,19,141,196
Cadaval,2018,1787,1405,382,10.2,683,7,55,6,0,126,285,31,93,11,23,102,184,41,55,19,66,1743,24,15,5,0,886,29,439,6,0,304,1120,109,167,66,28,180,213,57,71,19,103,3797,11731,564,9241,7,0,4223,20791,2130,2046,2037,1139,2970,1987,323,892,209,599,60890,41,25,147,213
Cadaval,2019,1817,1408,409,10.4,674,8,56,4,0,137,283,33,104,12,24,105,184,42,57,23,71,1769,28,14,6,0,935,26,489,4,0,319,1074,104,184,72,30,197,211,53,72,23,109,3902,12657,485,9899,5,0,4331,23463,2089,2427,2410,1043,3408,1643,556,942,220,590,66167,52,25,135,212
Cadaval,2020,1806,1401,405,10.3,661,7,54,4,0,137,284,39,99,13,27,112,172,42,61,23,71,1764,25,11,6,0,906,21,461,4,0,322,1100,114,151,52,35,176,193,52,81,24,106,3798,13243,455,10012,4,0,1541,24799,2512,1642,1756,1127,3302,1289,402,863,203,592,63742,27,18,120,165
Cadaval,2021,1836,1389,447,10.5,640,7,55,4,1,143,296,43,87,15,35,119,186,50,59,26,70,1789,26,15,6,0,901,15,459,0,0,325,1098,121,159,24,42,207,233,89,88,27,102,3895,13179,245,9269,0,0,5027,27937,2839,1943,1813,1501,3659,1640,795,853,123,620,71479,32,22,152,206
Cadaval,2022,1862,1411,451,10.6,606,7,56,6,2,134,297,49,100,17,38,122,206,46,71,32,73,1815,23,16,8,0,864,14,480,0,0,332,1209,132,159,25,52,220,254,95,107,34,103,4088,15409,334,11530,0,0,5158,31506,3136,2209,2039,1391,3667,2192,1063,1589,260,780,82313,14,17,153,184
Cadaval,2023,1876,1410,466,10.7,580,7,58,4,1,138,290,51,106,15,44,136,214,43,67,37,85,1823,29,17,7,0,835,0,479,4,0,333,1173,136,157,46,54,236,263,90,107,39,114,4082,16522,0,12817,1,0,6057,34569,4125,2621,1839,2841,4662,2226,1188,1947,890,901,93661,24,18,165,207
Cadaval,2024,1926,1442,484,11.0,584,7,64,5,1,147,276,56,100,13,51,151,218,47,74,41,91,1867,32,18,9,0,906,18,0,5,0,362,1130,141,153,47,63,274,285,98,121,45,122,4342,17969,530,0,1,0,6642,34393,5035,2791,1633,1941,5581,3031,1411,1691,422,1303,99951,29,27,156,212
Caldas da Rainha,2016,6490,4663,1827,25.4,652,2,333,16,4,461,1288,78,694,89,206,597,813,336,446,153,322,6290,128,49,20,3,1057,0,2234,0,99,1123,3716,654,1464,295,310,1008,3625,620,866,204,463,17771,13205,0,54183,0,3791,6225,67777,20511,19104,7173,6096,16050,21850,6446,11106,1482,2848,258496,63,102,782,947
Caldas da Rainha,2017,6807,4906,1901,26.6,667,3,336,17,3,459,1310,86,779,93,226,625,882,344,439,174,364,6593,132,55,23,4,1175,16,2335,17,103,1259,3981,764,1639,310,348,970,4015,644,863,228,496,19163,19584,754,56536,28,4176,19794,77221,23566,22737,8110,9270,15214,26434,5580,11549,1617,3159,305329,78,92,880,1050
Caldas da Rainha,2018,6921,4942,1979,27.1,666,3,346,19,3,495,1293,93,825,95,235,635,876,339,459,175,364,6696,140,55,24,6,1205,16,2403,19,102,1377,4040,834,1825,346,386,988,7571,617,2529,241,510,25009,17459,722,59973,26,4172,26398,80021,25399,24550,9281,10050,16688,48454,4408,22914,2273,3740,356530,77,107,765,949
Caldas da Rainha,2019,7143,5036,2107,27.9,650,3,360,20,4,542,1291,97,845,102,261,656,915,347,468,189,393,6901,155,57,25,5,1328,12,2508,20,183,1486,3927,880,1937,384,410,1041,8688,614,964,254,555,25191,19075,620,64789,56,4082,30198,79326,28288,26899,9523,9317,17246,69129,4281,13132,2280,4073,382314,50,118,837,1005
Caldas da Rainha,2020,6881,4702,2179,26.9,646,3,350,20,5,558,1273,110,591,103,283,677,878,344,472,194,374,6641,153,58,25,4,1346,8,2306,20,195,1696,3911,964,1478,409,434,1082,1818,604,944,240,508,17963,20861,243,54523,17,5727,38541,78895,26037,14039,10636,8704,16793,17333,2885,12074,1590,3611,312511,37,91,615,743
Caldas da Rainha,2021,7151,4872,2279,28.0,634,5,366,16,4,600,1274,132,606,124,313,717,957,337,494,195,377,6898,158,60,31,4,1378,9,2498,16,192,1806,3825,985,1479,456,458,1130,2179,565,972,240,494,18682,21630,-180,70935,8,4596,43357,90596,28825,17536,14171,10277,20143,23237,3624,13941,1783,3771,368249,39,125,763,927
Caldas da Rainha,2022,7663,5265,2398,30.0,642,3,367,20,3,647,1279,134,670,146,347,765,1110,374,521,225,410,7406,152,70,30,5,1413,9,2681,20,187,1890,3927,998,1740,484,541,1219,2587,619,1027,273,557,20172,22435,406,81817,3,4402,48234,105212,34055,28845,15901,14208,24141,33355,4519,15771,2588,5261,441152,53,137,955,1145
Caldas da Rainha,2023,7981,5497,2484,31.2,604,4,380,15,3,685,1256,167,711,175,358,806,1243,378,519,242,435,7708,156,81,31,5,1433,11,2781,15,192,2027,3973,1098,1802,535,562,1297,2897,641,1300,285,595,21444,30409,458,102438,7,6465,55926,111062,38421,34429,15768,16114,28013,38004,5538,20950,3084,6185,513271,34,158,1025,1217
Caldas da Rainha,2024,8348,5768,2580,32.6,605,4,380,18,4,736,1302,207,708,196,372,846,1295,388,544,268,475,8062,159,91,30,6,1491,13,2618,18,198,2055,4474,1243,1974,548,571,1354,3118,666,1350,318,639,22648,35653,245,81927,27,6301,58404,165782,47041,38991,17441,20055,30265,43591,6135,23672,3489,6806,585824,36,146,1027,1209
Calheta [R.A.A.],2016,512,449,63,4.1,292,0,14,0,0,30,64,18,28,2,0,10,26,1,9,7,11,502,5,4,1,0,300,0,241,0,0,58,211,18,35,0,0,13,28,0,10,7,12,936,2689,0,2165,0,0,526,3400,119,665,0,0,95,161,0,214,9,130,10181,20,5,33,58
Calheta [R.A.A.],2017,527,459,68,4.2,286,0,15,0,0,31,68,18,34,4,0,12,29,4,10,4,12,514,6,6,1,0,0,0,261,0,0,64,241,0,60,4,0,15,31,4,11,4,13,1023,0,0,1945,0,0,406,3288,0,989,2,0,128,281,12,239,6,137,10269,8,7,38,53
Calheta [R.A.A.],2018,547,475,72,4.3,298,0,19,0,0,31,67,16,39,3,1,11,27,5,10,6,14,534,6,6,1,0,0,0,288,0,0,61,237,16,63,3,0,17,29,5,11,6,15,1056,0,0,2870,0,0,617,3687,163,1008,13,0,118,327,19,184,23,138,12066,28,9,31,68
Calheta [R.A.A.],2019,561,488,73,4.4,303,0,21,0,1,36,65,17,37,3,2,11,28,5,9,7,16,546,9,5,1,0,321,0,279,0,0,74,237,17,75,3,0,16,0,5,10,7,19,1097,2813,0,3956,0,0,861,3778,233,874,36,0,171,0,21,137,52,138,13520,18,11,32,61
Calheta [R.A.A.],2020,556,483,73,4.4,294,0,21,0,1,40,68,18,30,3,3,12,33,5,10,4,14,544,5,6,1,0,311,0,281,0,0,76,234,0,47,3,3,16,36,5,11,5,17,1064,2940,0,3826,0,0,735,3864,0,427,20,10,148,270,21,98,18,145,12694,12,10,27,49
Calheta [R.A.A.],2021,593,518,75,4.7,320,0,22,0,0,40,66,16,33,4,2,13,37,6,11,7,16,579,8,5,1,0,334,0,0,0,0,79,238,16,51,4,0,21,39,6,12,9,20,1114,2027,0,0,0,0,781,4144,278,607,75,0,254,356,31,203,70,126,12842,22,10,33,65
Calheta [R.A.A.],2022,591,512,79,4.7,310,0,25,0,0,40,60,17,34,2,3,14,45,5,13,8,15,574,9,6,2,0,317,0,0,0,0,76,239,0,57,0,4,19,0,0,14,11,17,1256,2775,0,0,0,0,913,4356,0,841,0,16,242,0,0,285,132,158,16251,16,6,33,55
Calheta [R.A.A.],2023,616,536,80,4.9,303,0,22,0,0,36,68,19,34,3,4,15,62,10,14,10,16,602,8,5,1,0,0,0,276,0,0,71,239,19,58,4,11,20,0,10,16,13,18,1136,0,0,6363,0,0,864,5089,291,842,43,206,320,0,46,246,184,198,19176,20,4,54,78
Calheta [R.A.A.],2024,632,550,82,5.0,309,0,26,0,0,42,70,18,36,2,3,15,58,8,15,13,17,615,11,5,1,0,318,0,278,0,0,78,252,19,59,0,12,19,0,9,18,16,20,1161,3651,0,5181,0,0,949,5795,412,997,0,254,460,0,71,197,109,173,19125,21,10,32,63
Calheta [R.A.M.],2016,1283,1039,244,11.5,543,0,20,7,0,48,114,33,269,6,19,26,94,20,30,30,24,1252,26,2,2,1,579,0,159,7,0,691,219,47,573,7,19,46,128,21,38,46,32,2612,1446,0,1703,7,0,44226,2715,-64,7464,43,-428,445,1165,91,332,444,142,59730,48,10,151,209
Calheta [R.A.M.],2017,1383,1118,265,12.4,533,0,24,7,0,53,113,35,350,8,22,28,105,15,28,36,26,1351,24,5,2,1,572,0,157,7,0,797,225,46,707,9,23,52,141,15,34,58,35,2878,1535,0,1893,7,0,36279,2703,475,10407,107,-1129,9002,1416,69,378,539,178,63859,36,10,175,221
Calheta [R.A.M.],2018,1532,1249,283,13.7,545,0,27,9,0,59,127,37,426,9,24,25,125,19,36,35,29,1494,29,6,2,1,583,0,168,9,0,820,262,51,798,10,25,49,164,19,41,57,43,3099,1716,0,2079,9,0,44626,2744,610,10796,72,-366,1159,1508,112,395,495,205,66160,42,16,209,267
Calheta [R.A.M.],2019,1612,1301,311,14.5,522,0,30,9,0,64,124,41,482,12,29,35,139,17,40,35,33,1575,26,8,2,1,561,0,171,9,0,1123,266,49,878,12,29,62,181,17,42,65,46,3511,1809,0,2186,18,0,38897,3634,451,13459,71,-114,-1204,1633,82,406,597,265,62189,19,15,190,224
Calheta [R.A.M.],2020,1583,1278,305,14.2,529,0,28,10,0,65,124,38,429,13,28,46,141,16,42,36,38,1546,28,7,1,1,555,0,176,10,0,1238,277,42,797,16,31,71,183,16,45,58,50,3565,1338,0,1504,30,0,40476,3914,-618,5598,160,-141,-939,871,70,341,189,182,52975,28,7,126,161
Calheta [R.A.M.],2021,1607,1286,321,14.4,519,0,28,10,0,69,120,35,436,15,34,53,138,16,49,42,43,1569,26,10,1,1,545,0,186,10,0,1756,254,38,792,19,36,81,178,16,54,77,54,4096,1278,0,2289,14,0,52725,4925,-37,10654,247,631,1018,1364,77,587,779,251,76802,29,9,158,196
Calheta [R.A.M.],2022,1778,1417,361,15.9,529,0,31,16,0,79,130,36,519,23,42,58,149,16,52,54,44,1735,28,13,1,1,558,0,193,16,0,1809,266,36,1026,30,47,88,181,16,57,103,54,4480,1844,0,2913,1,0,83543,5876,237,21083,1987,2910,818,1963,333,512,1311,339,125671,30,24,240,294
Calheta [R.A.M.],2023,1912,1512,400,17.1,495,0,35,17,0,90,128,37,614,26,52,61,182,21,50,58,46,1869,30,12,0,1,522,0,196,17,0,2156,274,37,1051,33,66,95,216,37,56,108,54,4918,1873,0,3366,24,0,94346,5609,285,25053,940,-45,83,2758,355,517,1905,392,137461,26,28,266,320
Calheta [R.A.M.],2024,2080,1622,458,18.7,490,0,36,15,0,100,128,53,694,32,56,71,216,22,51,61,55,2030,36,13,0,1,521,0,208,0,0,2717,303,0,1181,38,81,105,252,37,56,97,61,5727,2094,0,4237,0,0,103182,6549,0,33255,928,1586,1135,3558,644,641,1402,382,160079,22,20,270,312
Caminha,2016,2136,1625,511,15.6,224,1,95,6,1,300,419,29,220,16,50,165,203,109,134,60,104,2095,24,11,6,0,375,0,427,6,0,554,944,45,547,0,64,205,231,246,170,74,125,4046,4547,0,4646,8673,0,9263,12289,343,6190,0,655,2410,1698,-738,2311,758,824,53902,17,40,230,287
Caminha,2017,2217,1690,527,16.2,207,1,97,6,1,324,424,29,227,13,54,169,221,130,135,69,110,2171,29,12,5,0,0,0,403,6,0,590,982,47,579,21,80,220,233,194,173,84,131,4151,0,0,4813,8816,0,8716,13476,479,7756,351,988,2842,2057,-706,2272,869,895,56781,15,52,233,300
Caminha,2018,2283,1733,550,16.7,201,1,92,5,1,326,423,24,268,17,57,176,245,120,145,73,109,2230,35,13,5,0,346,0,367,5,0,598,1011,0,694,22,80,230,258,189,182,96,132,4314,4227,0,4227,9570,0,8110,16186,0,9059,359,1398,3249,1891,-1012,2433,752,863,60934,25,40,239,304
Caminha,2019,2303,1722,581,16.9,190,1,92,6,1,348,408,23,288,20,55,169,251,112,145,77,117,2249,34,14,6,0,381,0,359,6,0,596,1042,0,811,27,78,228,271,182,191,95,140,4533,5719,0,4438,9514,0,9850,16713,0,9383,394,878,3337,1991,-1064,2719,961,1098,65129,26,48,230,304
