territory,year,company_total,company_individual,company_society,company_density,company_nr_cae_a,company_nr_cae_b,company_nr_cae_c,company_nr_cae_d,company_nr_cae_e,company_nr_cae_f,company_nr_cae_g,company_nr_cae_h,company_nr_cae_i,company_nr_cae_j,company_nr_cae_l,company_nr_cae_m,company_nr_cae_n,company_nr_cae_p,company_nr_cae_q,company_nr_cae_r,company_nr_cae_s,company_nr_employee_[<10],company_nr_employee_[10-19],company_nr_employee_[20-49],company_nr_employee_[50-249],company_nr_employee_[>249],company_employee_nr_cae_a,company_employee_nr_cae_b,company_employee_nr_cae_c,company_employee_nr_cae_d,company_employee_nr_cae_e,company_employee_nr_cae_f,company_employee_nr_cae_g,company_employee_nr_cae_h,company_employee_nr_cae_i,company_employee_nr_cae_j,company_employee_nr_cae_l,company_employee_nr_cae_m,company_employee_nr_cae_n,company_employee_nr_cae_p,company_employee_nr_cae_q,company_employee_nr_cae_r,company_employee_nr_cae_s,company_employee_nr_total,company_gva_cae_a,company_gva_cae_b,company_gva_cae_c,company_gva_cae_d,company_gva_cae_e,company_gva_cae_f,company_gva_cae_g,company_gva_cae_h,company_gva_cae_i,company_gva_cae_j,company_gva_cae_l,company_gva_cae_m,company_gva_cae_n,company_gva_cae_p,company_gva_cae_q,company_gva_cae_r,company_gva_cae_s,company_gva_total,company_births_af,company_births_ice,company_births_s,company_births_total
Aguiar da Beira,2022,770,516,254,3.7,242,3,42,5,0,76,135,32,61,3,9,35,26,23,44,6,28,746,12,11,1,0,293,0,171,5,0,221,451,83,137,0,12,73,30,24,99,10,31,1673,4908,0,4197,2,0,3299,9318,2035,2083,0,309,1428,128,155,1410,117,262,30418,20,11,55,86
Aguiar da Beira,2023,766,505,261,3.7,231,3,38,4,0,76,138,35,75,5,10,34,32,15,36,5,29,737,15,13,1,0,285,30,169,4,0,207,495,91,170,6,13,73,32,16,85,8,33,1717,6567,627,6296,5,0,3058,10318,2170,2464,92,334,1437,171,123,1740,107,314,35823,22,5,40,67
Aguiar da Beira,2024,773,518,255,3.7,240,3,42,2,0,68,135,31,70,8,12,36,32,23,37,5,29,745,17,9,2,0,298,0,183,0,0,193,484,92,178,9,14,72,32,25,94,8,34,1743,6547,0,7176,0,0,3077,11586,2578,3347,56,278,1687,194,226,1967,87,364,39783,23,5,48,76
Alandroal,2016,559,418,141,1.0,196,1,38,0,0,32,94,9,61,3,2,15,46,11,24,17,10,552,4,2,1,0,400,0,108,0,0,72,128,10,81,5,0,17,47,12,24,17,15,946,2087,0,1320,0,0,695,1082,44,815,128,0,217,213,42,207,121,231,7419,20,5,43,68
Alandroal,2017,586,439,147,1.1,205,1,39,0,0,37,85,8,65,3,6,15,61,12,22,16,11,580,3,2,1,0,562,0,108,0,0,93,127,9,86,8,6,17,62,0,22,16,16,1154,2489,0,1374,0,0,1152,1222,56,1049,68,28,168,285,0,213,121,251,8736,22,10,49,81
Alandroal,2018,645,482,163,1.2,226,2,40,0,0,42,99,8,72,4,6,16,62,17,26,16,9,635,7,2,1,0,427,0,111,0,0,100,159,0,103,12,6,18,62,18,26,17,14,1093,2143,0,1275,0,0,1209,1348,0,1167,146,20,158,307,89,238,148,227,8602,32,11,69,112
Alandroal,2019,664,492,172,1.2,225,2,40,0,0,43,100,9,70,4,6,21,72,15,26,20,11,653,9,0,2,0,458,0,111,0,0,118,153,10,96,8,6,23,72,0,26,20,16,1146,2572,0,1381,0,0,1445,1446,57,1330,95,35,188,383,0,189,196,162,10367,18,7,57,82
Alandroal,2020,637,466,171,1.2,220,1,36,1,0,44,93,9,70,2,5,19,74,9,24,20,10,627,7,1,2,0,445,0,106,0,0,123,157,0,100,0,5,20,75,11,24,20,13,1114,2721,0,1161,0,0,1550,1824,0,1248,0,-6,167,403,67,213,126,278,9872,13,6,39,58
Alandroal,2021,659,480,179,1.2,215,2,37,0,0,44,87,7,76,3,7,23,90,13,26,16,13,648,6,4,1,0,447,0,0,0,0,129,132,8,98,6,7,24,91,14,26,0,16,1130,3935,0,0,0,0,1513,1813,131,973,3,95,240,587,75,307,0,266,11531,17,9,60,86
Alandroal,2022,676,491,185,1.2,212,4,40,0,0,44,89,9,79,4,7,21,100,11,27,19,10,665,7,3,1,0,440,10,0,0,0,0,143,10,117,5,7,23,110,12,27,20,16,1169,2627,69,0,0,0,0,2068,328,1238,-31,135,259,568,88,317,300,359,11298,15,13,50,78
Alandroal,2023,682,489,193,1.3,224,3,44,0,0,47,87,10,76,5,7,26,89,8,24,20,12,670,8,3,1,0,473,8,118,0,0,106,143,11,116,6,7,31,102,10,24,21,16,1192,4542,222,1731,0,0,1807,2738,416,1362,35,127,368,445,95,372,318,374,14952,17,8,45,70
Alandroal,2024,695,506,189,1.3,229,2,37,0,0,42,82,9,81,5,7,26,104,13,26,21,11,681,8,4,2,0,492,0,112,0,0,110,137,11,146,5,7,31,119,0,26,21,13,1248,4240,0,1671,0,0,1972,2690,188,2011,55,134,437,671,0,415,286,340,15041,15,4,57,76
Albergaria-a-Velha,2016,2729,1919,810,17.2,334,1,288,12,3,252,606,49,158,28,58,229,306,101,137,54,113,2594,68,50,15,2,440,0,4075,12,0,728,1580,474,257,67,78,374,356,194,248,56,129,9091,3137,0,137163,38,0,9273,33821,11608,3272,906,2281,6213,2261,1047,2907,252,901,219444,38,75,268,381
Albergaria-a-Velha,2017,2784,1957,827,17.5,327,1,277,10,5,250,592,50,159,30,64,233,334,102,151,74,125,2647,65,56,14,2,437,0,3865,0,35,779,1628,465,270,59,86,370,389,201,213,89,142,9040,3472,0,136192,0,4447,11672,36895,11296,3317,928,2577,5828,2670,1150,2657,453,942,224567,32,47,282,361
Albergaria-a-Velha,2018,2766,1912,854,17.4,304,1,270,13,3,249,597,47,169,31,65,234,328,97,161,72,125,2628,63,57,16,2,419,0,4022,13,0,751,1742,432,300,67,91,385,400,179,246,81,143,9305,4350,0,151198,18,0,13484,37964,11281,3905,828,2940,6137,3098,1260,2798,449,1003,245420,33,50,280,363
Albergaria-a-Velha,2019,2824,1930,894,17.8,288,1,272,13,3,250,621,53,171,32,69,247,327,104,167,80,126,2681,70,54,16,3,415,0,4182,0,20,758,1778,437,308,74,94,399,406,191,243,86,139,9546,4467,0,153128,0,4631,13565,41550,12227,4356,1132,3123,6781,3310,1070,2857,514,1093,253883,26,37,262,325
Albergaria-a-Velha,2020,2789,1914,875,17.6,277,1,264,16,3,254,613,53,159,34,73,247,321,103,174,72,125,2654,68,52,11,4,405,0,3897,16,0,826,1770,428,342,86,105,380,361,180,239,82,144,9287,4977,0,153317,17,0,16241,40893,12785,3430,1802,3308,6377,2282,837,2533,551,1193,255953,21,41,251,313
Albergaria-a-Velha,2021,2875,1978,897,18.1,266,1,274,13,3,260,630,52,164,36,74,262,359,113,170,68,130,2734,70,55,12,4,395,0,4148,0,35,871,1758,417,346,93,113,412,397,174,233,71,141,9619,5295,0,193011,0,6668,18449,49027,12613,3997,1887,4607,7046,4249,812,3221,305,1150,312390,27,43,256,326
Albergaria-a-Velha,2022,2969,2064,905,18.7,255,1,269,16,3,249,622,56,168,44,89,260,413,128,187,76,133,2828,70,54,13,4,391,0,4421,0,45,1033,1886,452,354,90,130,416,455,186,261,81,144,10363,7261,0,217767,0,7931,30887,57723,16041,5518,2206,4859,7827,4610,1003,3678,523,1409,369284,23,39,318,380
Albergaria-a-Velha,2023,3129,2168,961,19.7,248,1,273,12,3,267,653,61,175,47,94,281,460,127,193,82,152,2983,76,56,10,4,416,0,4425,12,47,953,1952,473,385,84,133,440,520,0,270,86,164,10547,8789,0,196703,2,9449,23493,62057,19659,6621,1935,7393,8388,5283,0,4075,545,1557,357104,33,58,366,457
Albergaria-a-Velha,2024,3142,2194,948,19.8,236,2,280,7,4,278,632,78,171,49,91,278,475,130,185,90,156,3003,66,57,12,4,373,0,4279,7,0,1013,1954,514,394,71,128,424,516,195,263,92,166,10443,8380,0,209543,9,0,26979,61262,19865,7934,1928,4397,8440,5826,1259,4683,598,1658,372607,20,58,326,404
Albufeira,2016,7412,5031,2381,52.7,341,1,121,15,3,506,1252,167,1885,44,446,470,1166,169,252,244,330,7094,201,74,43,0,466,0,361,16,0,1378,3072,507,8653,66,774,815,1891,250,386,387,470,19496,4408,0,5786,46,0,20566,46718,6589,199971,1111,14733,15422,23162,2080,7134,4518,3830,356128,29,116,1209,1354
Albufeira,2017,7869,5378,2491,55.9,361,0,123,14,5,555,1230,178,2028,46,479,472,1277,183,262,272,384,7535,214,73,47,0,542,0,423,14,0,1454,3203,527,9084,73,825,973,2166,268,388,469,0,20950,5219,0,6662,-77,0,23646,52748,8191,226469,1372,21536,19043,29550,2233,7620,6204,0,414472,40,118,1172,1330
Albufeira,2018,8339,5672,2667,59.3,354,0,129,13,5,565,1201,198,2277,48,519,500,1403,169,270,278,410,7965,239,85,50,0,538,0,456,13,6,1586,3349,612,9903,82,929,1031,2595,269,415,517,546,22847,5776,0,7864,-26,88,26964,58285,8903,250444,1602,23683,20046,34235,2385,8683,6879,5254,461063,46,101,1321,1468
Albufeira,2019,8759,5885,2874,62.3,353,0,129,15,4,647,1214,311,2422,47,526,511,1382,186,276,284,452,8374,241,92,52,0,568,0,462,15,5,1778,3474,764,10330,100,948,1072,2446,296,454,562,597,23871,5426,0,7896,-36,46,32671,63824,9782,257919,2661,27594,21770,34801,2353,9257,7749,5582,489295,29,146,1221,1396
Albufeira,2020,8090,5140,2950,57.5,356,0,124,15,5,671,1144,352,1941,55,533,518,1198,183,300,239,456,7799,176,74,41,0,578,0,371,15,5,1728,3210,714,7835,137,851,971,1932,263,495,416,591,20112,8328,0,5405,9,-6,25208,46124,4450,74934,4013,19592,17671,18702,1792,9598,3198,2736,241753,34,110,895,1039
Albufeira,2021,8522,5518,3004,60.6,368,0,129,15,5,739,1111,381,2095,74,567,567,1264,181,315,253,458,8228,183,73,38,0,579,0,359,15,5,1770,3031,648,7841,170,910,996,1931,262,527,425,584,20053,8161,0,5672,-75,45,31860,54580,5338,138409,5523,32334,21069,24420,1924,13722,6580,3878,353440,43,149,1043,1235
Albufeira,2022,10398,7224,3174,73.9,391,1,137,17,4,834,1170,568,3014,97,587,627,1554,198,346,305,548,10041,206,103,48,0,611,0,473,17,4,1932,3345,918,10605,0,943,1193,2424,280,576,525,638,24693,8735,0,9594,101,13,38285,84047,12145,325204,0,41676,30497,36575,2715,12817,12770,4040,628689,65,210,1942,2217
