territory,year,population_total,population_density,population_pp_pc
Coruche,2024,17332,15.5,
Corvo,2016,393,22.9,
Corvo,2017,390,22.7,76.2
Corvo,2018,388,22.6,
Corvo,2019,384,22.2,74.9
Corvo,2020,385,22.7,
Corvo,2021,401,24.1,75.7
Corvo,2022,424,25.4,
Corvo,2023,435,25.4,82.8
Corvo,2024,436,25.5,
Covilhã,2016,48548,86.9,
Covilhã,2017,48029,86.0,86.6
Covilhã,2018,47579,85.2,
Covilhã,2019,47239,84.8,86.6
Covilhã,2020,46913,84.1,
Covilhã,2021,46548,83.5,86.9
Covilhã,2022,46233,82.9,
Covilhã,2023,46228,83.5,89.2
Covilhã,2024,46491,83.9,
Crato,2016,3480,8.6,
Crato,2017,3422,8.5,72.8
Crato,2018,3372,8.4,
Crato,2019,3308,8.2,74.2
Crato,2020,3267,8.2,
Crato,2021,3252,8.1,73.7
Crato,2022,3253,8.2,
Crato,2023,3269,8.2,75.6
Crato,2024,3262,8.2,
Cuba,2016,4638,26.7,
Cuba,2017,4559,26.3,67.9
Cuba,2018,4483,25.8,
Cuba,2019,4423,25.6,68.6
Cuba,2020,4403,25.6,
Cuba,2021,4406,25.6,73.7
Cuba,2022,4429,25.8,
Cuba,2023,4460,26.0,75.6
Cuba,2024,4470,26.0,
Câmara de Lobos,2016,32955,627.6,
Câmara de Lobos,2017,32564,620.7,58.3
Câmara de Lobos,2018,32287,617.0,
Câmara de Lobos,2019,32150,615.5,59.9
Câmara de Lobos,2020,32210,619.3,
Câmara de Lobos,2021,32330,620.1,63.5
Câmara de Lobos,2022,32386,621.5,
Câmara de Lobos,2023,32604,628.4,66.6
Câmara de Lobos,2024,33015,637.2,
Elvas,2016,21700,34.1,
Elvas,2017,21447,33.8,89.0
Elvas,2018,21238,33.5,
Elvas,2019,21064,33.2,90.5
Elvas,2020,20927,33.1,
Elvas,2021,20749,32.7,90.0
Elvas,2022,20543,32.4,
Elvas,2023,20432,32.3,90.6
Elvas,2024,20369,32.2,
Entroncamento,2016,19964,1453.2,
Entroncamento,2017,19916,1447.9,98.5
Entroncamento,2018,19871,1446.6,
Entroncamento,2019,19924,1455.6,96.5
Entroncamento,2020,20112,1474.1,
Entroncamento,2021,20563,1521.3,99.1
Entroncamento,2022,21117,1554.7,
Entroncamento,2023,21666,1601.2,96.1
Entroncamento,2024,22295,1646.3,
Espinho,2016,31216,1480.6,
Espinho,2017,31205,1482.9,103.0
Espinho,2018,31228,1482.8,
Espinho,2019,31247,1484.6,104.4
Espinho,2020,31221,1480.3,
Espinho,2021,31308,1492.9,95.9
Espinho,2022,31662,1514.0,
Espinho,2023,32139,1538.1,100.4
Espinho,2024,32565,1554.4,
Esposende,2016,34268,359.5,
Esposende,2017,34365,360.9,83.8
Esposende,2018,34501,362.4,
Esposende,2019,34714,365.3,85.2
Esposende,2020,35076,370.0,
Esposende,2021,35519,374.6,86.8
Esposende,2022,36101,382.2,
Esposende,2023,36796,389.2,88.0
Esposende,2024,37426,395.4,
Estarreja,2016,26316,242.7,
Estarreja,2017,26188,241.5,82.1
Estarreja,2018,26131,241.7,
Estarreja,2019,26209,242.9,84.5
Estarreja,2020,26328,243.9,
Estarreja,2021,26458,245.3,86.2
Estarreja,2022,26595,246.4,
Estarreja,2023,26877,250.5,86.2
Estarreja,2024,27286,254.0,
Estremoz,2016,13278,25.7,
Estremoz,2017,13127,25.4,93.9
Estremoz,2018,12988,25.2,
Estremoz,2019,12872,24.9,95.5
Estremoz,2020,12787,24.8,
Estremoz,2021,12745,24.8,95.7
Estremoz,2022,12679,24.6,
Estremoz,2023,12589,24.4,95.0
Estremoz,2024,12516,24.3,
Fafe,2016,49015,223.3,
Fafe,2017,48850,222.6,75.3
Fafe,2018,48677,221.8,
Fafe,2019,48582,221.7,75.5
Fafe,2020,48626,222.2,
Fafe,2021,48520,220.8,76.9
Fafe,2022,48358,220.7,
Fafe,2023,48432,221.4,76.9
Fafe,2024,48467,221.0,
Faro,2016,66153,327.2,
Faro,2017,66498,329.3,132.5
Faro,2018,66968,331.9,
Faro,2019,67633,335.8,130.6
Faro,2020,68011,335.6,
Faro,2021,67924,335.0,116.0
Faro,2022,68392,340.2,
Faro,2023,69196,342.9,113.3
Faro,2024,69908,347.3,
Felgueiras,2016,56548,487.9,
Felgueiras,2017,56416,486.9,81.6
Felgueiras,2018,56307,486.1,
Felgueiras,2019,56233,485.6,80.3
Felgueiras,2020,56127,484.2,
Felgueiras,2021,55849,480.9,81.2
Felgueiras,2022,55535,478.8,
Felgueiras,2023,55423,478.9,80.5
Felgueiras,2024,55326,477.1,
Ferreira do Alentejo,2016,7815,12.0,
Ferreira do Alentejo,2017,7744,11.9,73.0
Ferreira do Alentejo,2018,7678,11.8,
Ferreira do Alentejo,2019,7647,11.8,72.9
Ferreira do Alentejo,2020,7695,11.9,
Ferreira do Alentejo,2021,7789,12.1,74.9
Ferreira do Alentejo,2022,7850,12.1,
Ferreira do Alentejo,2023,7888,12.2,77.2
Ferreira do Alentejo,2024,7907,12.2,
Ferreira do Zêzere,2016,8034,42.0,
Ferreira do Zêzere,2017,7946,41.5,67.8
Ferreira do Zêzere,2018,7875,41.2,
Ferreira do Zêzere,2019,7829,41.0,69.2
Ferreira do Zêzere,2020,7821,41.1,
Ferreira do Zêzere,2021,7853,41.4,74.1
Ferreira do Zêzere,2022,7885,41.5,
Ferreira do Zêzere,2023,7958,42.1,73.8
Ferreira do Zêzere,2024,8067,42.6,
Figueira da Foz,2016,59911,157.5,
Figueira da Foz,2017,59451,156.2,95.0
Figueira da Foz,2018,59069,155.5,
Figueira da Foz,2019,58944,155.5,95.1
Figueira da Foz,2020,59149,156.5,
Figueira da Foz,2021,59370,156.7,94.8
Figueira da Foz,2022,59612,157.8,
Figueira da Foz,2023,60245,160.1,95.1
Figueira da Foz,2024,61034,162.0,
Figueira de Castelo Rodrigo,2016,5698,11.1,
Figueira de Castelo Rodrigo,2017,5569,10.8,66.8
Figueira de Castelo Rodrigo,2018,5442,10.6,
Figueira de Castelo Rodrigo,2019,5330,10.4,67.5
Figueira de Castelo Rodrigo,2020,5233,10.2,
Figueira de Castelo Rodrigo,2021,5141,10.0,69.8
Figueira de Castelo Rodrigo,2022,5078,10.0,
Figueira de Castelo Rodrigo,2023,5055,9.9,71.0
Figueira de Castelo Rodrigo,2024,5033,9.9,
Figueiró dos Vinhos,2016,5620,32.2,
Figueiró dos Vinhos,2017,5546,31.8,65.5
Figueiró dos Vinhos,2018,5462,31.2,
Figueiró dos Vinhos,2019,5384,30.9,66.0
Figueiró dos Vinhos,2020,5330,30.6,
Figueiró dos Vinhos,2021,5287,30.4,71.5
Figueiró dos Vinhos,2022,5239,30.1,
Figueiró dos Vinhos,2023,5242,30.4,72.4
Figueiró dos Vinhos,2024,5298,30.7,
Fornos de Algodres,2016,4750,35.8,
Fornos de Algodres,2017,4664,35.1,58.8
Fornos de Algodres,2018,4571,34.4,
Fornos de Algodres,2019,4491,33.9,59.9
Fornos de Algodres,2020,4461,33.9,
Fornos de Algodres,2021,4441,33.6,64.7
Fornos de Algodres,2022,4396,33.3,
Fornos de Algodres,2023,4378,33.3,66.8
Fornos de Algodres,2024,4392,33.5,
Freixo de Espada à Cinta,2016,3512,14.2,
Freixo de Espada à Cinta,2017,3448,14.0,63.2
Freixo de Espada à Cinta,2018,3397,13.8,
Freixo de Espada à Cinta,2019,3364,13.7,62.2
Freixo de Espada à Cinta,2020,3324,13.5,
Freixo de Espada à Cinta,2021,3259,13.2,68.3
Freixo de Espada à Cinta,2022,3198,13.0,
Freixo de Espada à Cinta,2023,3155,12.9,69.4
Freixo de Espada à Cinta,2024,3099,12.5,
Fronteira,2016,3154,12.6,
Fronteira,2017,3091,12.3,79.0
Fronteira,2018,3035,12.1,
Fronteira,2019,2988,11.9,76.6
Fronteira,2020,2953,11.8,
Fronteira,2021,2948,11.9,76.2
Fronteira,2022,2947,11.8,
Fronteira,2023,2958,12.0,77.5
Fronteira,2024,2974,12.0,
Funchal,2016,106947,1398.0,
Funchal,2017,106372,1393.2,114.3
Funchal,2018,106074,1390.2,
Funchal,2019,105965,1390.3,115.7
Funchal,2020,106137,1394.7,
Funchal,2021,106352,1396.0,109.6
Funchal,2022,106702,1403.9,
Funchal,2023,107282,1411.2,109.1
Funchal,2024,107846,1418.6,
Fundão,2016,27295,38.8,
Fundão,2017,27024,38.4,77.9
Fundão,2018,26806,38.1,
Fundão,2019,26652,38.0,78.9
Fundão,2020,26626,38.1,
Fundão,2021,26652,38.1,79.8
Fundão,2022,26640,38.0,
Fundão,2023,26806,38.5,81.6
Fundão,2024,27133,39.0,
Gavião,2016,3714,12.4,
Gavião,2017,3627,12.2,71.8
Gavião,2018,3549,11.9,
Gavião,2019,3465,11.6,74.2
Gavião,2020,3412,11.5,
Gavião,2021,3392,11.5,70.9
Gavião,2022,3371,11.4,
Gavião,2023,3343,11.3,73.8
Gavião,2024,3294,11.1,
Golegã,2016,5627,66.2,
Golegã,2017,5551,65.4,82.6
Golegã,2018,5479,64.6,
Golegã,2019,5418,63.9,84.7
Golegã,2020,5384,63.7,
Golegã,2021,5389,64.1,84.1
Golegã,2022,5410,64.2,
Golegã,2023,5430,64.5,85.4
Golegã,2024,5465,65.1,
Gondomar,2016,165019,1249.3,
Gondomar,2017,164736,1248.2,84.1
Gondomar,2018,164588,1247.1,
Gondomar,2019,164647,1249.0,84.9
Gondomar,2020,164857,1250.3,
Gondomar,2021,165307,1255.9,85.9
Gondomar,2022,166463,1267.8,
Gondomar,2023,167917,1277.9,87.5
Gondomar,2024,168985,1284.0,
Gouveia,2016,12955,42.8,
Gouveia,2017,12759,42.1,65.9
Gouveia,2018,12563,41.5,
Gouveia,2019,12402,41.0,67.0
Gouveia,2020,12324,40.9,
Gouveia,2021,12273,40.7,69.6
Gouveia,2022,12176,40.3,
Gouveia,2023,12169,40.7,70.3
Gouveia,2024,12262,40.9,
Grândola,2016,14159,17.1,
Grândola,2017,14053,17.0,85.9
Grândola,2018,13959,16.8,
Grândola,2019,13910,16.8,89.0
Grândola,2020,13913,16.9,
Grândola,2021,13954,16.9,95.4
Grândola,2022,13997,17.0,
Grândola,2023,14084,17.2,91.2
Grândola,2024,14196,17.2,
Guarda,2016,41194,57.6,
Guarda,2017,40894,57.2,96.2
Guarda,2018,40640,56.9,
Guarda,2019,40469,56.8,97.1
Guarda,2020,40362,56.6,
Guarda,2021,40218,56.4,95.3
Guarda,2022,40015,56.0,
Guarda,2023,39952,56.2,95.9
Guarda,2024,40029,56.2,
Guimarães,2016,156126,648.0,
Guimarães,2017,156245,648.7,91.4
Guimarães,2018,156462,649.8,
Guimarães,2019,156825,651.7,91.3
Guimarães,2020,157190,652.8,
Guimarães,2021,156907,649.3,89.3
Guimarães,2022,156491,649.4,
Guimarães,2023,156642,650.6,89.2
Guimarães,2024,156651,649.4,
Góis,2016,4021,15.2,
Góis,2017,3964,14.9,64.0
Góis,2018,3902,14.7,
Góis,2019,3853,14.6,66.1
Góis,2020,3822,14.5,
Góis,2021,3794,14.4,68.3
Góis,2022,3777,14.3,
Góis,2023,3787,14.4,69.3
Góis,2024,3811,14.5,
Horta,2016,14558,83.8,
Horta,2017,14470,83.4,90.7
Horta,2018,14395,83.0,
Horta,2019,14350,82.9,90.7
Horta,2020,14384,83.3,
Horta,2021,14427,83.4,88.7
Horta,2022,14433,83.4,
Horta,2023,14451,83.6,86.6
Horta,2024,14466,83.6,
Idanha-a-Nova,2016,8877,6.2,
Idanha-a-Nova,2017,8755,6.1,67.6
Idanha-a-Nova,2018,8635,6.1,
Idanha-a-Nova,2019,8548,6.0,68.8
Idanha-a-Nova,2020,8476,6.0,
Idanha-a-Nova,2021,8417,5.9,68.5
Idanha-a-Nova,2022,8405,5.9,
Idanha-a-Nova,2023,8449,6.0,66.6
Idanha-a-Nova,2024,8517,6.0,
Lagoa,2016,22855,259.4,
Lagoa,2017,22970,261.1,89.8
Lagoa,2018,23107,262.5,
Lagoa,2019,23300,265.5,91.5
Lagoa,2020,23629,270.0,
Lagoa,2021,23950,272.8,91.4
Lagoa,2022,24289,277.7,
Lagoa,2023,24712,282.4,88.5
Lagoa,2024,25227,289.3,
Lagoa [R.A.A.],2016,14211,311.4,
Lagoa [R.A.A.],2017,14177,310.5,74.2
Lagoa [R.A.A.],2018,14145,310.0,
Lagoa [R.A.A.],2019,14121,309.5,76.1
Lagoa [R.A.A.],2020,14187,312.9,
Lagoa [R.A.A.],2021,14361,317.2,76.9
Lagoa [R.A.A.],2022,14592,323.0,
Lagoa [R.A.A.],2023,14823,327.3,79.8
Lagoa [R.A.A.],2024,15025,331.9,
Lagos,2016,31554,148.7,
Lagos,2017,31842,150.3,93.8
Lagos,2018,32195,152.0,
Lagos,2019,32701,155.0,93.9
Lagos,2020,33350,158.1,
Lagos,2021,33631,157.7,94.4
Lagos,2022,33865,160.3,
Lagos,2023,34349,162.2,89.9
Lagos,2024,34897,165.5,
Lajes das Flores,2016,1449,20.6,
Lajes das Flores,2017,1442,20.5,74.8
Lajes das Flores,2018,1430,20.3,
Lajes das Flores,2019,1419,20.2,75.4
Lajes das Flores,2020,1416,20.2,
Lajes das Flores,2021,1415,20.2,82.6
Lajes das Flores,2022,1428,20.5,
Lajes das Flores,2023,1443,20.6,73.3
Lajes das Flores,2024,1451,20.8,
Lajes do Pico,2016,4472,28.6,
Lajes do Pico,2017,4433,28.5,70.0
Lajes do Pico,2018,4399,28.2,
Lajes do Pico,2019,4368,28.1,70.8
Lajes do Pico,2020,4366,28.1,
Lajes do Pico,2021,4387,28.3,70.6
Lajes do Pico,2022,4394,28.2,
Lajes do Pico,2023,4394,28.3,72.1
Lajes do Pico,2024,4401,28.3,
Lamego,2016,25230,151.7,
Lamego,2017,25001,150.6,81.4
Lamego,2018,24810,149.4,
Lamego,2019,24639,148.5,80.7
Lamego,2020,24503,147.7,
Lamego,2021,24335,146.5,83.6
Lamego,2022,24197,146.1,
Lamego,2023,24146,145.9,83.5
Lamego,2024,24083,145.3,
Leiria,2016,126686,224.2,
Leiria,2017,126774,224.5,103.4
Leiria,2018,126948,224.8,
Leiria,2019,127563,226.7,103.2
Leiria,2020,128579,228.4,
Leiria,2021,129586,230.2,105.7
Leiria,2022,130762,232.6,
Leiria,2023,132614,236.8,103.5
Leiria,2024,134901,240.7,
Lisboa,2016,548189,5491.8,
Lisboa,2017,551090,5524.5,219.6
Lisboa,2018,554033,5550.7,
Lisboa,2019,558461,5613.0,205.6
Lisboa,2020,555228,5486.0,
Lisboa,2021,547010,5448.7,186.3
Lisboa,2022,551331,5572.4,
Lisboa,2023,562325,5668.5,181.4
Lisboa,2024,571435,5754.5,
Loulé,2016,70124,91.9,
Loulé,2017,70446,92.6,105.9
Loulé,2018,70952,93.3,
Loulé,2019,71643,94.4,109.3
Loulé,2020,72396,95.2,
Loulé,2021,72538,94.7,115.4
Loulé,2022,72967,96.4,
Loulé,2023,74000,97.4,108.6
Loulé,2024,75087,99.2,
Loures,2016,200021,1196.7,
Loures,2017,200397,1199.8,92.3
Loures,2018,200853,1202.2,
Loures,2019,201705,1210.0,101.0
Loures,2020,202487,1211.5,
Loures,2021,202660,1212.0,102.3
Loures,2022,203560,1222.3,
Loures,2023,205742,1238.1,100.7
Loures,2024,208471,1254.9,
Lourinhã,2016,25643,174.1,
Lourinhã,2017,25620,174.1,78.3
Lourinhã,2018,25638,174.3,
Lourinhã,2019,25748,175.6,79.8
Lourinhã,2020,26114,179.3,
Lourinhã,2021,26687,183.4,85.3
Lourinhã,2022,27327,188.0,
Lourinhã,2023,28025,192.9,84.2
Lourinhã,2024,28681,196.9,
Lousada,2016,46869,487.8,
Lousada,2017,46908,488.7,71.1
Lousada,2018,46994,489.6,
Lousada,2019,47118,491.2,72.6
Lousada,2020,47363,494.7,
Lousada,2021,47578,495.7,74.6
Lousada,2022,47780,498.9,
Lousada,2023,48120,502.8,74.7
Lousada,2024,48481,506.4,
Lousã,2016,17137,123.5,
Lousã,2017,17067,123.1,80.6
Lousã,2018,17004,122.6,
Lousã,2019,16957,122.4,80.7
Lousã,2020,17003,123.3,
Lousã,2021,17109,124.0,84.4
Lousã,2022,17188,124.4,
Lousã,2023,17318,125.9,85.0
Lousã,2024,17541,127.6,
Macedo de Cavaleiros,2016,14706,21.0,
Macedo de Cavaleiros,2017,14605,20.8,73.5
Macedo de Cavaleiros,2018,14509,20.7,
Macedo de Cavaleiros,2019,14421,20.6,73.8
Macedo de Cavaleiros,2020,14336,20.4,
Macedo de Cavaleiros,2021,14228,20.3,76.8
Macedo de Cavaleiros,2022,14164,20.3,
Macedo de Cavaleiros,2023,14198,20.4,78.0
Macedo de Cavaleiros,2024,14245,20.4,
Machico,2016,20341,296.0,
Machico,2017,20089,292.7,78.2
Machico,2018,19866,289.5,
Machico,2019,19698,287.7,80.1
Machico,2020,19666,288.6,
Machico,2021,19656,287.4,77.0
Machico,2022,19584,286.4,
Machico,2023,19573,287.1,82.8
Machico,2024,19637,288.3,
Madalena,2016,6160,41.9,
Madalena,2017,6178,42.1,89.1
Madalena,2018,6200,42.2,
Madalena,2019,6248,42.7,90.6
Madalena,2020,6321,43.2,
Madalena,2021,6399,43.8,84.8
Madalena,2022,6463,44.1,
Madalena,2023,6509,44.4,83.2
Madalena,2024,6546,44.6,
Mafra,2016,80826,278.5,
Mafra,2017,81732,282.0,96.3
Mafra,2018,82771,285.6,
Mafra,2019,84059,290.8,98.3
Mafra,2020,86009,299.0,
Mafra,2021,87560,301.5,102.9
Mafra,2022,88635,306.4,
Mafra,2023,89739,309.0,103.4
Mafra,2024,90688,312.9,
Maia,2016,134522,1621.4,
Maia,2017,134544,1622.9,110.7
Maia,2018,134723,1625.7,
Maia,2019,135053,1630.9,110.6
Maia,2020,135353,1633.0,
Maia,2021,136517,1658.8,108.7
Maia,2022,138964,1691.8,
Maia,2023,141463,1719.0,107.3
Maia,2024,143629,1744.0,
Mangualde,2016,18860,85.6,
Mangualde,2017,18665,84.7,82.4
Mangualde,2018,18500,84.0,
Mangualde,2019,18390,83.7,83.4
Mangualde,2020,18389,84.0,
Mangualde,2021,18396,83.8,85.4
Mangualde,2022,18348,83.6,
Mangualde,2023,18461,84.8,85.1
Mangualde,2024,18679,85.6,
Manteigas,2016,3161,25.7,
Manteigas,2017,3109,25.3,63.9
Manteigas,2018,3064,24.9,
Manteigas,2019,3028,24.7,67.1
Manteigas,2020,2996,24.4,
Manteigas,2021,2965,24.2,71.6
Manteigas,2022,2942,24.0,
Manteigas,2023,2935,24.1,72.6
Manteigas,2024,2945,24.2,
Marco de Canaveses,2016,50688,250.0,
Marco de Canaveses,2017,50294,248.2,74.1
Marco de Canaveses,2018,49937,246.5,
Marco de Canaveses,2019,49659,245.5,73.5
Marco de Canaveses,2020,49640,246.3,
Marco de Canaveses,2021,49637,245.4,75.5
Marco de Canaveses,2022,49505,245.0,
Marco de Canaveses,2023,49518,245.6,75.4
Marco de Canaveses,2024,49539,245.2,
Marinha Grande,2016,38415,205.2,
Marinha Grande,2017,38469,205.6,98.5
Marinha Grande,2018,38536,206.0,
Marinha Grande,2019,38699,207.4,94.9
Marinha Grande,2020,39024,209.4,
Marinha Grande,2021,39432,211.7,92.7
Marinha Grande,2022,39894,214.4,
Marinha Grande,2023,40576,219.0,90.2
Marinha Grande,2024,41392,223.1,
Marvão,2016,3243,20.8,
Marvão,2017,3197,20.5,64.8
Marvão,2018,3145,20.1,
Marvão,2019,3088,19.8,66.6
Marvão,2020,3055,19.7,
Marvão,2021,3059,19.8,69.3
Marvão,2022,3053,19.6,
Marvão,2023,3031,19.5,69.4
Marvão,2024,3022,19.5,
Matosinhos,2016,173542,2779.2,
Matosinhos,2017,173529,2780.8,123.0
Matosinhos,2018,173665,2783.6,
Matosinhos,2019,174027,2792.4,130.6
Matosinhos,2020,173772,2775.4,
Matosinhos,2021,173943,2797.9,118.1
Matosinhos,2022,175894,2837.9,
Matosinhos,2023,178351,2876.6,119.6
Matosinhos,2024,180302,2900.4,
Mação,2016,6757,16.8,
Mação,2017,6637,16.4,68.8
Mação,2018,6514,16.1,
Mação,2019,6427,16.0,70.6
Mação,2020,6405,16.0,
Mação,2021,6430,16.1,71.5
Mação,2022,6418,16.0,
Mação,2023,6396,16.0,73.0
Mação,2024,6401,16.0,
Mealhada,2016,19716,177.6,
Mealhada,2017,19584,176.4,86.9
Mealhada,2018,19458,175.3,
Mealhada,2019,19395,175.2,86.8
Mealhada,2020,19409,175.6,
Mealhada,2021,19487,176.6,88.8
Mealhada,2022,19584,177.3,
Mealhada,2023,19705,178.8,89.0
Mealhada,2024,19905,180.9,
Melgaço,2016,8418,35.1,
Melgaço,2017,8279,34.4,62.0
Melgaço,2018,8136,33.9,
Melgaço,2019,8029,33.5,62.1
Melgaço,2020,7901,32.8,
Melgaço,2021,7755,32.3,64.0
Melgaço,2022,7654,32.0,
Melgaço,2023,7607,31.9,64.9
Melgaço,2024,7578,31.7,
Mesão Frio,2016,3901,144.6,
Mesão Frio,2017,3805,141.0,69.5
Mesão Frio,2018,3713,137.6,
Mesão Frio,2019,3624,134.3,68.6
Mesão Frio,2020,3567,133.4,
Mesão Frio,2021,3546,132.7,69.1
Mesão Frio,2022,3526,131.9,
Mesão Frio,2023,3500,130.8,70.2
Mesão Frio,2024,3467,129.4,
Mira,2016,12138,97.7,
Mira,2017,12092,97.3,72.2
Mira,2018,12051,97.0,
Mira,2019,12055,97.4,73.0
Mira,2020,12132,98.3,
Mira,2021,12215,98.7,77.1
Mira,2022,12268,99.1,
Mira,2023,12407,101.0,76.1
Mira,2024,12622,102.6,
Miranda do Corvo,2016,12530,98.7,
Miranda do Corvo,2017,12404,97.6,67.3
Miranda do Corvo,2018,12256,96.4,
Miranda do Corvo,2019,12141,95.7,67.9
Miranda do Corvo,2020,12089,95.6,
Miranda do Corvo,2021,12074,95.5,73.7
Miranda do Corvo,2022,12051,95.2,
Miranda do Corvo,2023,12074,95.9,74.7
Miranda do Corvo,2024,12193,97.1,
Miranda do Douro,2016,6854,14.0,
Miranda do Douro,2017,6756,13.8,72.7
Miranda do Douro,2018,6668,13.6,
Miranda do Douro,2019,6599,13.5,72.9
Miranda do Douro,2020,6538,13.4,
Miranda do Douro,2021,6454,13.1,75.2
Miranda do Douro,2022,6375,13.0,
Miranda do Douro,2023,6326,12.9,74.7
Miranda do Douro,2024,6259,12.8,
Mirandela,2016,22434,33.8,
Mirandela,2017,22178,33.5,83.0
Mirandela,2018,21939,33.1,
Mirandela,2019,21736,32.9,83.6
Mirandela,2020,21576,32.6,
Mirandela,2021,21416,32.4,85.1
Mirandela,2022,21328,32.4,
Mirandela,2023,21356,32.5,84.9
Mirandela,2024,21367,32.4,
Mogadouro,2016,8797,11.5,
Mogadouro,2017,8699,11.4,67.9
Mogadouro,2018,8613,11.3,
Mogadouro,2019,8527,11.2,69.1
Mogadouro,2020,8447,11.1,
Mogadouro,2021,8353,10.9,70.5
Mogadouro,2022,8277,10.9,
Mogadouro,2023,8249,10.8,71.7
Mogadouro,2024,8203,10.7,
Moimenta da Beira,2016,9555,43.2,
Moimenta da Beira,2017,9483,43.0,66.3
Moimenta da Beira,2018,9430,42.7,
Moimenta da Beira,2019,9386,42.6,66.0
Moimenta da Beira,2020,9415,43.0,
Moimenta da Beira,2021,9477,43.2,72.8
Moimenta da Beira,2022,9557,43.7,
Moimenta da Beira,2023,9675,44.2,71.4
Moimenta da Beira,2024,9755,44.4,
Moita,2016,65208,1178.5,
Moita,2017,65108,1178.0,82.0
Moita,2018,65096,1178.0,
Moita,2019,65269,1184.2,83.4
Moita,2020,66067,1206.9,
Moita,2021,66860,1212.9,82.3
Moita,2022,67438,1227.8,
Moita,2023,68400,1247.7,84.0
Moita,2024,69675,1274.0,
Monchique,2016,5574,14.0,
Monchique,2017,5522,13.9,61.9
Monchique,2018,5483,13.8,
Monchique,2019,5452,13.8,64.5
Monchique,2020,5465,13.9,
Monchique,2021,5457,13.7,65.7
Monchique,2022,5393,13.6,
Monchique,2023,5343,13.5,69.0
Monchique,2024,5330,13.5,
Mondim de Basto,2016,6810,39.2,
Mondim de Basto,2017,6700,38.6,59.6
Mondim de Basto,2018,6609,38.2,
Mondim de Basto,2019,6530,37.7,61.0
Mondim de Basto,2020,6475,37.6,
Mondim de Basto,2021,6446,37.4,64.6
Mondim de Basto,2022,6420,37.2,
Mondim de Basto,2023,6407,37.2,66.1
Mondim de Basto,2024,6400,37.2,
Monforte,2016,3111,7.3,
Monforte,2017,3065,7.2,73.9
Monforte,2018,3022,7.1,
Monforte,2019,2990,7.1,74.1
Monforte,2020,2989,7.1,
Monforte,2021,3003,7.2,71.6
Monforte,2022,2991,7.1,
Monforte,2023,2989,7.1,74.9
Monforte,2024,3010,7.2,
Montalegre,2016,9615,11.9,
Montalegre,2017,9515,11.8,62.4
Montalegre,2018,9433,11.7,
Montalegre,2019,9353,11.6,63.3
Montalegre,2020,9304,11.5,
Montalegre,2021,9247,11.4,65.1
Montalegre,2022,9172,11.3,
Montalegre,2023,9141,11.4,65.2
Montalegre,2024,9121,11.3,
Montemor-o-Novo,2016,16432,13.3,
Montemor-o-Novo,2017,16263,13.1,86.8
Montemor-o-Novo,2018,16104,13.0,
Montemor-o-Novo,2019,15988,12.9,88.7
Montemor-o-Novo,2020,15958,12.9,
Montemor-o-Novo,2021,15984,13.0,88.6
Montemor-o-Novo,2022,15949,12.9,
Montemor-o-Novo,2023,15924,12.9,89.5
Montemor-o-Novo,2024,15932,12.9,
Montemor-o-Velho,2016,25073,109.1,
Montemor-o-Velho,2017,24868,108.1,71.0
Montemor-o-Velho,2018,24674,107.4,
Montemor-o-Velho,2019,24559,107.1,71.3
Montemor-o-Velho,2020,24604,107.8,
Montemor-o-Velho,2021,24699,108.0,75.6
Montemor-o-Velho,2022,24721,108.0,
Montemor-o-Velho,2023,24805,108.7,76.6
Montemor-o-Velho,2024,25010,109.8,
Montijo,2016,52839,152.1,
Montijo,2017,53245,153.3,99.2
Montijo,2018,53701,154.7,
Montijo,2019,54428,157.5,99.3
Montijo,2020,55543,161.1,
Montijo,2021,56546,163.3,102.5
Montijo,2022,57479,166.5,
Montijo,2023,58620,169.8,102.6
Montijo,2024,59905,173.9,
Monção,2016,18199,85.7,
Monção,2017,18063,85.2,70.2
Monção,2018,17953,84.7,
Monção,2019,17890,84.6,71.3
Monção,2020,17909,84.9,
Monção,2021,17898,84.5,75.1
Monção,2022,17887,84.8,
Monção,2023,17974,85.3,75.8
Monção,2024,18018,85.2,
Mora,2016,4573,10.2,
Mora,2017,4467,9.9,82.4
Mora,2018,4367,9.7,
Mora,2019,4282,9.6,83.3
Mora,2020,4224,9.5,
Mora,2021,4196,9.4,80.2
Mora,2022,4183,9.4,
Mora,2023,4166,9.4,80.5
Mora,2024,4158,9.4,
Mortágua,2016,9158,36.3,
Mortágua,2017,9086,36.0,74.1
Mortágua,2018,9033,35.9,
Mortágua,2019,9018,35.9,77.2
Mortágua,2020,9024,35.9,
Mortágua,2021,9020,35.9,80.2
Mortágua,2022,8978,35.6,
Mortágua,2023,9002,36.1,80.4
Mortágua,2024,9082,36.2,
Moura,2016,13993,14.5,
Moura,2017,13781,14.3,77.5
Moura,2018,13582,14.1,
Moura,2019,13427,13.9,77.2
Moura,2020,13364,13.9,
Moura,2021,13336,13.9,76.0
Moura,2022,13320,13.9,
Moura,2023,13324,13.9,76.7
Moura,2024,13326,13.9,
Mourão,2016,2485,8.9,
Mourão,2017,2451,8.7,69.9
Mourão,2018,2410,8.6,
Mourão,2019,2378,8.5,71.3
Mourão,2020,2361,8.4,
Mourão,2021,2370,8.6,71.2
Mourão,2022,2391,8.6,
Mourão,2023,2410,8.7,71.5
