territory,year,population_total,population_density,population_pp_pc
Almodôvar,2018,6843,8.8,
Almodôvar,2019,6789,8.7,81.3
Almodôvar,2020,6757,8.7,
Almodôvar,2021,6758,8.7,80.4
Almodôvar,2022,6728,8.6,
Almodôvar,2023,6692,8.6,82.7
Almodôvar,2024,6673,8.6,
Alpiarça,2016,7198,74.9,
Alpiarça,2017,7098,74.0,77.1
Alpiarça,2018,7010,73.0,
Alpiarça,2019,6933,72.4,78.0
Alpiarça,2020,6939,73.2,
Alpiarça,2021,7035,74.4,81.3
Alpiarça,2022,7153,75.6,
Alpiarça,2023,7272,76.9,81.5
Alpiarça,2024,7412,78.6,
Alter do Chão,2016,3312,9.0,
Alter do Chão,2017,3252,8.9,72.9
Alter do Chão,2018,3200,8.8,
Alter do Chão,2019,3138,8.6,73.5
Alter do Chão,2020,3099,8.5,
Alter do Chão,2021,3113,8.6,73.6
Alter do Chão,2022,3148,8.7,
Alter do Chão,2023,3172,8.8,77.4
Alter do Chão,2024,3201,8.9,
Alvaiázere,2016,6607,40.8,
Alvaiázere,2017,6490,40.1,66.5
Alvaiázere,2018,6388,39.5,
Alvaiázere,2019,6308,39.1,67.6
Alvaiázere,2020,6284,39.2,
Alvaiázere,2021,6299,39.3,72.7
Alvaiázere,2022,6300,39.2,
Alvaiázere,2023,6323,39.6,73.4
Alvaiázere,2024,6417,40.4,
Alvito,2016,2371,8.9,
Alvito,2017,2323,8.7,66.7
Alvito,2018,2287,8.6,
Alvito,2019,2261,8.5,67.6
Alvito,2020,2266,8.6,
Alvito,2021,2291,8.7,72.4
Alvito,2022,2281,8.5,
Alvito,2023,2271,8.6,77.3
Alvito,2024,2291,8.7,
Amadora,2016,171862,7225.7,
Amadora,2017,172076,7246.6,100.6
Amadora,2018,172384,7251.6,
Amadora,2019,172929,7292.4,100.1
Amadora,2020,172819,7242.3,
Amadora,2021,172690,7281.6,102.3
Amadora,2022,174132,7363.6,
Amadora,2023,176680,7495.9,102.7
Amadora,2024,179930,7637.0,
Amarante,2016,53473,176.7,
Amarante,2017,53075,175.5,71.8
Amarante,2018,52720,174.4,
Amarante,2019,52434,173.6,72.6
Amarante,2020,52334,173.7,
Amarante,2021,52205,172.8,75.3
Amarante,2022,52067,172.8,
Amarante,2023,52154,173.3,75.8
Amarante,2024,52202,173.1,
Amares,2016,18384,224.0,
Amares,2017,18369,224.2,70.9
Amares,2018,18385,224.4,
Amares,2019,18433,225.4,71.9
Amares,2020,18568,227.7,
Amares,2021,18764,230.2,74.0
Amares,2022,19041,234.5,
Amares,2023,19398,238.9,75.2
Amares,2024,19680,241.4,
Anadia,2016,27967,128.7,
Anadia,2017,27782,127.8,78.7
Anadia,2018,27608,127.1,
Anadia,2019,27530,127.1,80.4
Anadia,2020,27614,127.8,
Anadia,2021,27782,128.7,82.0
Anadia,2022,27875,128.7,
Anadia,2023,28041,130.2,82.2
Anadia,2024,28359,131.6,
Angra do Heroísmo,2016,34592,144.2,
Angra do Heroísmo,2017,34359,143.3,94.7
Angra do Heroísmo,2018,34166,142.6,
Angra do Heroísmo,2019,34005,142.0,96.1
Angra do Heroísmo,2020,33933,142.0,
Angra do Heroísmo,2021,33923,141.9,94.8
Angra do Heroísmo,2022,33911,141.9,
Angra do Heroísmo,2023,33849,141.4,92.9
Angra do Heroísmo,2024,33744,141.0,
Ansião,2016,12284,69.3,
Ansião,2017,12093,68.1,73.5
Ansião,2018,11898,67.1,
Ansião,2019,11765,66.6,74.2
Ansião,2020,11735,66.7,
Ansião,2021,11730,66.5,76.2
Ansião,2022,11708,66.5,
Ansião,2023,11785,67.4,78.1
Ansião,2024,11898,67.7,
Arcos de Valdevez,2016,21227,47.3,
Arcos de Valdevez,2017,21076,46.9,67.8
Arcos de Valdevez,2018,20926,46.6,
Arcos de Valdevez,2019,20844,46.6,68.6
Arcos de Valdevez,2020,20826,46.5,
Arcos de Valdevez,2021,20754,46.2,72.8
Arcos de Valdevez,2022,20703,46.3,
Arcos de Valdevez,2023,20786,46.6,72.5
Arcos de Valdevez,2024,20839,46.5,
Arganil,2016,11457,34.3,
Arganil,2017,11336,33.9,68.2
Arganil,2018,11226,33.6,
Arganil,2019,11156,33.4,69.0
Arganil,2020,11156,33.6,
Arganil,2021,11174,33.6,72.1
Arganil,2022,11155,33.5,
Arganil,2023,11227,34.0,71.5
Arganil,2024,11380,34.4,
Armamar,2016,5878,49.9,
Armamar,2017,5830,49.6,63.3
Armamar,2018,5785,49.1,
Armamar,2019,5743,48.8,63.1
Armamar,2020,5733,49.0,
Armamar,2021,5733,48.8,71.2
Armamar,2022,5710,48.6,
Armamar,2023,5672,48.2,70.4
Armamar,2024,5643,48.1,
Arouca,2016,21594,65.5,
Arouca,2017,21506,65.2,70.8
Arouca,2018,21406,64.9,
Arouca,2019,21324,64.7,72.7
Arouca,2020,21266,64.5,
Arouca,2021,21141,63.9,74.3
Arouca,2022,20991,63.6,
Arouca,2023,20929,63.6,75.5
Arouca,2024,20871,63.3,
Arraiolos,2016,6834,9.9,
Arraiolos,2017,6763,9.8,73.3
Arraiolos,2018,6704,9.8,
Arraiolos,2019,6657,9.7,73.8
Arraiolos,2020,6639,9.7,
Arraiolos,2021,6680,9.8,77.1
Arraiolos,2022,6730,9.9,
Arraiolos,2023,6761,9.9,77.9
Arraiolos,2024,6824,10.0,
Arronches,2016,3024,9.5,
Arronches,2017,2984,9.4,72.0
Arronches,2018,2941,9.3,
Arronches,2019,2892,9.1,73.4
Arronches,2020,2843,9.0,
Arronches,2021,2804,8.9,75.9
Arronches,2022,2782,8.8,
Arronches,2023,2772,8.8,76.0
Arronches,2024,2768,8.8,
Arruda dos Vinhos,2016,13537,174.1,
Arruda dos Vinhos,2017,13591,174.6,91.0
Arruda dos Vinhos,2018,13624,174.9,
Arruda dos Vinhos,2019,13719,177.0,93.7
Arruda dos Vinhos,2020,13940,180.6,
Arruda dos Vinhos,2021,14255,185.1,103.2
Arruda dos Vinhos,2022,14671,191.3,
Arruda dos Vinhos,2023,15116,196.5,102.9
Arruda dos Vinhos,2024,15537,202.1,
Aveiro,2016,79391,402.4,
Aveiro,2017,79720,404.5,123.1
Aveiro,2018,80227,407.6,
Aveiro,2019,81048,412.8,121.8
Aveiro,2020,81446,411.6,
Aveiro,2021,81956,418.0,119.7
Aveiro,2022,83196,424.1,
Aveiro,2023,84919,435.5,117.8
Aveiro,2024,87096,446.2,
Avis,2016,4085,6.7,
Avis,2017,3998,6.5,74.1
Avis,2018,3920,6.4,
Avis,2019,3858,6.3,74.5
Avis,2020,3827,6.3,
Avis,2021,3825,6.3,78.6
Avis,2022,3805,6.2,
Avis,2023,3793,6.3,75.7
Avis,2024,3781,6.2,
Azambuja,2016,21306,80.9,
Azambuja,2017,21240,80.8,106.2
Azambuja,2018,21231,80.9,
Azambuja,2019,21292,81.3,98.9
Azambuja,2020,21439,82.0,
Azambuja,2021,21760,83.7,111.1
Azambuja,2022,22174,85.1,
Azambuja,2023,22648,87.3,103.2
Azambuja,2024,23190,89.3,
Baião,2016,18667,106.1,
Baião,2017,18379,104.5,58.2
Baião,2018,18123,103.2,
Baião,2019,17912,102.1,59.5
Baião,2020,17745,101.2,
Baião,2021,17553,99.9,62.7
Baião,2022,17357,99.0,
Baião,2023,17240,98.6,64.5
Baião,2024,17145,97.9,
Barcelos,2016,117152,308.7,
Barcelos,2017,116817,307.9,78.9
Barcelos,2018,116655,307.8,
Barcelos,2019,116784,308.6,80.1
Barcelos,2020,117091,309.4,
Barcelos,2021,116947,307.8,81.6
Barcelos,2022,116664,308.0,
Barcelos,2023,116845,308.8,82.2
Barcelos,2024,116982,308.7,
Barrancos,2016,1661,9.7,
Barrancos,2017,1627,9.6,63.4
Barrancos,2018,1596,9.4,
Barrancos,2019,1562,9.2,65.1
Barrancos,2020,1541,9.1,
Barrancos,2021,1517,8.9,67.2
Barrancos,2022,1478,8.7,
Barrancos,2023,1444,8.5,69.0
Barrancos,2024,1423,8.4,
Barreiro,2016,77936,2141.1,
Barreiro,2017,77972,2144.3,100.0
Barreiro,2018,78097,2147.9,
Barreiro,2019,78479,2165.3,100.3
Barreiro,2020,78806,2165.9,
Barreiro,2021,78762,2162.8,96.5
Barreiro,2022,78856,2171.1,
Barreiro,2023,79486,2197.5,97.8
Barreiro,2024,80549,2229.5,
Batalha,2016,15398,148.6,
Batalha,2017,15362,148.4,84.8
Batalha,2018,15352,148.4,
Batalha,2019,15398,149.3,83.9
Batalha,2020,15524,150.9,
Batalha,2021,15720,153.1,89.3
Batalha,2022,15984,156.0,
Batalha,2023,16349,160.2,86.2
Batalha,2024,16730,163.4,
Beja,2016,34625,30.1,
Beja,2017,34356,29.8,105.3
Beja,2018,34086,29.6,
Beja,2019,33942,29.6,105.3
Beja,2020,33764,29.3,
Beja,2021,33627,29.3,101.7
Beja,2022,33631,29.3,
Beja,2023,33728,29.5,101.3
Beja,2024,33896,29.6,
Belmonte,2016,6402,53.6,
Belmonte,2017,6325,52.9,71.3
Belmonte,2018,6244,52.3,
Belmonte,2019,6182,51.9,71.7
Belmonte,2020,6169,52.0,
Belmonte,2021,6193,52.2,74.4
Belmonte,2022,6192,52.0,
