territory,year,population_total,company_total,company_individual,company_society,company_density,company_nr_cae_a,company_nr_cae_b,company_nr_cae_c,company_nr_cae_d,company_nr_cae_e,company_nr_cae_f,company_nr_cae_g,company_nr_cae_h,company_nr_cae_i,company_nr_cae_j,company_nr_cae_l,company_nr_cae_m,company_nr_cae_n,company_nr_cae_p,company_nr_cae_q,company_nr_cae_r,company_nr_cae_s,company_nr_employee_[<10],company_nr_employee_[10-19],company_nr_employee_[20-49],company_nr_employee_[50-249],company_nr_employee_[>249],company_employee_nr_cae_a,company_employee_nr_cae_b,company_employee_nr_cae_c,company_employee_nr_cae_d,company_employee_nr_cae_e,company_employee_nr_cae_f,company_employee_nr_cae_g,company_employee_nr_cae_h,company_employee_nr_cae_i,company_employee_nr_cae_j,company_employee_nr_cae_l,company_employee_nr_cae_m,company_employee_nr_cae_n,company_employee_nr_cae_p,company_employee_nr_cae_q,company_employee_nr_cae_r,company_employee_nr_cae_s,company_employee_nr_total,company_gva_cae_a,company_gva_cae_b,company_gva_cae_c,company_gva_cae_d,company_gva_cae_e,company_gva_cae_f,company_gva_cae_g,company_gva_cae_h,company_gva_cae_i,company_gva_cae_j,company_gva_cae_l,company_gva_cae_m,company_gva_cae_n,company_gva_cae_p,company_gva_cae_q,company_gva_cae_r,company_gva_cae_s,company_gva_total,company_births_af,company_births_ice,company_births_s,company_births_total
Abrantes,2016,36421,834.9578539853381,587.0239696878175,247.93388429752065,4.3,83.74289558221905,0.0,40.086763131160595,13.179209796545948,2.1965349660909914,58.208176601411274,188.6274402130639,15.37574476263694,71.38738639795721,8.786139864363966,12.080942313500453,67.54345020729798,89.5087998682079,47.774635512479065,68.64171769034348,20.592515307103046,47.22550177095631,808.8740012630076,12.904642925784575,9.609840476648086,3.294802449136487,0.2745668707613739,161.44532000768785,0.0,532.6597292770654,49.97117047857005,45.303533675626696,128.497295516323,438.75785947667555,28.55495455918289,167.76035803519946,11.806375442739078,17.29771285796656,106.25737898465171,116.96548694434529,52.71683918618379,120.53485626424315,24.161884627000905,65.89604898272974,2068.5868043161913,1641.086186540732,0.0,18966.53029845419,33874.138546442984,1668.8174404876306,1672.9359435490512,6196.425139342687,536.7782323384861,1663.6006699431646,122.45682435957276,287.4715136871585,1387.3863979572225,943.6863348068422,292.6882842316246,1694.077592597677,117.78918755662941,442.052661925812,71508.19582109223,15.101177891875565,20.592515307103046,96.922105378765,132.61579857774362
Abrantes,2017,35937,873.7512869744274,620.8086373375629,252.9426496368645,4.4,84.87074602777082,0.0,43.96582908979603,13.634972312658263,1.6695884464479505,60.38344881320088,191.16787711829033,17.25241394662882,73.46189164370982,9.739265937613045,14.469766535882238,70.67924423296324,98.22745359935442,47.30500598269193,75.13148009015778,24.20903247349528,47.58327072376659,844.811753902663,15.304560759106213,9.739265937613045,3.6174416339705595,0.27826474107465843,167.51537412694438,0.0,555.1381584439436,52.59203606311044,45.63541753624398,143.3063416534491,451.34541002309595,46.1919470183933,183.09819962712524,15.026296018031555,19.20026713415143,113.25374961738598,125.49739822467095,53.14856554525976,129.11483985864152,24.7655619556446,68.45312630436597,2193.282689150458,1373.514761944514,0.0,20407.101316192224,33747.6695327935,1960.3751008709685,2063.611319809667,6449.620168628433,610.2345771767259,1935.8878036563985,201.74193727912734,362.0224281381306,1468.681303392047,958.900297743273,294.12583131591396,1781.4508723599631,105.7406016083702,461.64120544285834,74182.04079361104,13.634972312658263,13.634972312658263,101.28836575117566,128.5583103764922
Abrantes,2018,35463,867.6648901672165,611.3413980768688,256.3234920903477,4.3,87.13306826833602,0.0,43.989510193723035,14.381186024870992,2.2558723176268223,58.37069621859403,183.85359388658603,17.483010461607872,73.31585032287173,9.869441389617348,13.535233905760935,70.4960099258382,88.26100442714942,48.78323886868003,80.0834672757522,26.788483771818516,49.06522290838338,838.9025181174745,14.381186024870992,9.869441389617348,4.2297605955502915,0.2819840397033528,169.19042382201167,0.0,571.5816484786961,52.73101542452697,49.347206948086736,157.91106223387757,457.09612835913487,47.09133463045992,188.36533852183967,20.02086681893805,19.456898739531344,111.10171164312099,110.25575952401094,54.9868877421538,132.81448270027917,28.48038801003863,67.67616952880466,2238.107323125511,1559.0897555198376,0.0,20470.349378225194,33736.57051010913,1865.606406677382,2598.2009418266925,6866.875334856047,688.8870089952909,2147.8724304204384,314.4122042692384,295.5192736091137,1473.9305755294251,803.6545131545555,311.0283957927981,1783.8310351634098,124.35496150917858,409.7228096889716,75449.34156726729,13.817217945464286,10.433409469024053,78.39156303753208,102.64219045202042
Abrantes,2019,35083,879.0582333323831,609.1269275717584,269.9313057606248,4.3,86.65165464755009,0.0,45.32109568736995,14.536955220477154,2.2803067012513183,59.00293589487786,186.13003448963886,18.52749194766696,76.67531282957557,10.261380155630931,15.107031895789984,68.97927771285238,83.23119459567312,45.89117236268278,86.65165464755009,26.223527064390158,53.587207479405976,848.2740928654904,16.81726192172847,9.406265142661688,4.275575064846222,0.2850383376564148,153.35062565915115,0.0,573.7821737023629,53.30216914174956,51.59193911581107,163.61200581478207,456.06134025026364,58.71789755722144,198.38668300886468,18.812530285323376,20.80779864891828,120.00114015335062,102.61380155630931,52.162015791123906,141.66405381523813,29.35894877861072,74.68004446598067,2268.9051677450616,1723.0567511330273,0.0,19268.306587235984,32317.36168514665,1932.2748909728357,3017.9859191061196,6982.299119231537,828.8914859048541,2320.782145198529,308.41148134424077,429.55277484821704,2352.7064390160476,764.4728215945045,304.7059829547074,1977.3109483225492,144.22939885414587,449.7904968218225,75121.85388934812,14.821993558133569,8.551150129692443,90.6421913747399,114.01533506256591
Abrantes,2020,34745,889.6244063894086,608.1450568427111,281.4793495466974,4.3,86.05554756080012,0.0,42.30824579076126,15.829615772053533,2.5903007626996692,59.00129515038135,180.16980860555475,18.99553892646424,75.69434451000144,11.80025903007627,18.132105338897684,74.25528853072385,90.08490430277737,48.352280903727156,90.3727154986329,22.737084472585984,53.24507123327098,858.5407972370125,16.11742696790905,10.649014246654195,4.029356741977263,0.2878111958555188,165.20362642106778,0.0,516.3332853648008,52.95726003741546,52.0938264498489,185.06259893509858,445.24391998848756,55.2597496042596,178.44294143042166,20.434594905741832,24.751762843574614,129.22722693912795,107.3535760541085,53.532882429126495,158.87178011224637,25.90300762699669,76.26996690171248,2246.942006044035,2083.753057993956,0.0,16018.132105338898,30043.459490574183,1735.789322204634,2853.9358181033244,6879.551014534465,864.872643545834,1619.5135990790043,377.60828896244067,551.1584400633185,2858.5407972370126,643.54583393294,262.1959994243776,2000.0,90.66052669448841,539.3581810332422,69422.36292991797,9.785580659087639,7.195279896387969,90.3727154986329,107.3535760541085
Abrantes,2021,34365,891.3138367525098,595.9551869634803,295.3586497890295,4.3,78.27731703768369,0.0,45.395024006983846,13.385712207187545,2.327949949076095,61.399679906882,178.08817110432125,20.95154954168485,76.53135457587662,12.803724719918522,20.36956205441583,81.47824821766332,84.67917939764295,40.157136621562636,95.15495416848538,24.15248072166448,56.16179252146079,861.0504874145206,15.422668412629127,10.184781027207915,4.364906154517678,0.29099374363451186,134.43910955914447,0.0,550.8511567001309,51.21489887967409,53.54284882875018,194.38382074785392,442.310490324458,56.74378000872981,171.68630874436198,24.15248072166448,26.189436927106065,142.2959406372763,101.84781027207914,45.10403026334934,164.7024588971337,29.681361850720208,80.31427324312527,2269.4602066055577,2205.150589262331,0.0,19225.956641932196,27572.239196857267,2594.791211988942,3279.208497017314,7673.505019642077,980.648916048305,1852.175178233668,421.9409282700422,580.5325185508511,3805.034191764877,651.534991997672,283.71890004364906,2577.9135748581407,131.82016586643385,604.1030117852466,74441.14651534992,8.438818565400844,10.475774770842426,89.91706678306416,108.83166011930743
Abrantes,2022,34015,949.2870792297516,638.5418197853888,310.7452594443628,4.5,85.25650448331618,0.0,47.038071439071,15.875349110686463,2.35190357195355,61.73746876378068,179.62663530795237,21.461120094076144,81.14067323239748,13.229457592238719,24.694987505512273,84.962516536822,100.24988975452007,47.038071439071,101.71982948699103,27.340879023960017,55.563721887402615,917.5363810083786,16.757312950169045,9.4076142878142,5.291783036895487,0.29398794649419374,140.8202263707188,0.0,585.9179773629281,40.86432456269293,0.0,213.43524915478466,458.9151844774364,60.8555049242981,213.43524915478466,0.0,32.6326620608555,161.69337057180655,113.77333529325298,52.62384242246068,175.80479200352787,33.51462590033809,82.61061296486844,2447.155666617669,1999.1180361605175,0.0,22758.194914008527,7025.723945318242,0.0,3317.3599882404824,8480.964280464501,1317.066000293988,3470.527708363957,0.0,545.9356166397178,4922.53417609878,712.9207702484198,341.61399382625314,2641.4816992503306,191.97412906070852,651.7712773776275,60754.66705865059,11.75951785976775,10.877554020285169,108.18756430986329,130.82463618991622
Abrantes,2023,33835,980.3457957736072,657.3075217969558,323.0382739766514,4.6,84.52785577065168,0.0,50.83493423969262,10.935421900398994,2.364415546032215,66.49918723215605,178.21782178217822,21.87084380079799,80.09457662184128,16.84646076547953,26.008571006354366,85.41451160041377,111.71863455002216,49.948278409930545,101.07876459287719,31.32850598492685,62.6570119698537,948.1306339589182,16.84646076547953,10.344318013890941,4.72883109206443,0.2955519432540269,143.9337963647111,0.0,613.5658341953598,33.397369587705036,58.22373282104329,206.88636027781882,471.7009014334269,61.77035614009162,195.95093837741982,21.87084380079799,36.05733707699128,172.6023348603517,130.9295108615339,55.85931727501108,185.6066203635289,37.239544850007384,90.73444657898625,2516.329244864785,2445.6923304270726,0.0,24099.89655681986,5916.35880005911,2959.952711689079,4112.900842323038,9430.175853406236,1738.4365302201861,2891.089108910891,481.74966750406384,991.2812176740061,5771.833899807891,963.2037830648736,402.5417467119846,3024.383035318457,272.7944436234668,809.2212206295256,66312.10285207625,10.344318013890941,14.186493276193291,118.8118811881188,143.34269247820305
Abrantes,2024,33791,1023.349412565476,692.1961469030215,331.1532656624545,4.8,84.04604776419757,0.0,53.56455861028084,9.174040424965227,2.3674943032168327,73.09638661181971,183.48080849930454,22.787132668462014,78.42324879405759,21.6033855168536,31.369299517623034,87.0054156432186,121.33408303986268,52.676748246574526,102.98600218993222,32.848983457133556,66.58577727797342,988.7248083809297,18.348080849930454,10.949661152377852,5.030925394335769,0.2959367879021041,154.47900328489834,0.0,644.2543872628806,32.848983457133556,60.37110473202924,221.06478056287176,475.2744813707792,59.48329436832292,211.00292977420023,30.18555236601462,43.2067710337072,180.5214406202835,153.2952561332899,59.48329436832292,189.3995442573466,39.06365600307774,95.29164570447752,2649.226125299636,2520.4936225622205,0.0,26770.737770412237,5256.429226717173,2500.0739841969753,4980.616140392412,10920.659347163446,1372.2588855020567,3559.8236216744103,566.1270752567251,883.963185463585,6164.955165576633,1183.1552780326122,414.90337663874993,3220.6800627385987,329.96951851084606,869.7582196442839,71514.60448048296,10.061850788671538,18.05214406202835,127.84469237370897,155.95868722440886
Aguiar da Beira,2016,5555,1274.5274527452746,928.8928892889289,345.63456345634563,3.4,441.04410441044104,7.200720072007201,73.8073807380738,7.200720072007201,0.0,113.41134113411341,243.02430243024304,54.005400540054005,106.21062106210621,3.6003600360036003,16.2016201620162,52.20522052205221,43.204320432043204,28.802880288028803,36.003600360036,7.200720072007201,41.40414041404141,1240.3240324032404,25.202520252025202,9.000900090009,0.0,0.0,0.0,63.00630063006301,325.8325832583258,7.200720072007201,0.0,379.83798379837987,720.0720072007201,140.41404140414042,160.21602160216023,0.0,18.001800180018,104.41044104410442,43.204320432043204,32.4032403240324,109.8109810981098,7.200720072007201,57.605760576057605,2671.4671467146713,0.0,948.6948694869487,9492.349234923493,30.603060306030603,0.0,4365.436543654366,10936.093609360936,2903.6903690369036,2023.4023402340233,0.0,199.81998199819984,1081.908190819082,115.21152115211521,401.4401440144014,1485.148514851485,5.4005400540054005,340.23402340234026,36813.681368136815,28.802880288028803,25.202520252025202,73.8073807380738,127.81278127812782
