territory,year,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Abrantes,2016,1867.1,986.9,880.2,214.3,370.3,450.8,433.6,398.1,330.8,284.5,451.6,477.7,213.5,109.1
Abrantes,2017,1637.9,873.9,764.0,180.3,324.4,378.8,388.1,366.3,254.1,249.8,415.4,415.2,195.3,108.1
Abrantes,2018,1409.1,778.9,630.2,173.9,263.9,309.9,332.0,329.3,218.5,214.3,337.9,376.3,162.6,99.6
Abrantes,2019,1358.4,759.8,598.7,166.3,254.3,293.9,300.4,343.6,189.3,214.8,356.6,370.4,148.4,79.0
Abrantes,2020,1513.0,794.8,718.2,180.3,311.1,323.3,316.8,381.6,199.2,221.7,387.0,458.9,165.1,81.2
Abrantes,2021,1323.7,708.7,615.0,151.9,260.0,266.3,281.8,363.8,189.0,195.3,309.8,400.3,149.6,79.8
Abrantes,2022,1195.0,640.8,554.3,141.4,204.7,223.1,273.6,352.3,163.1,175.9,285.4,363.4,125.0,82.2
Abrantes,2023,1139.6,614.9,524.7,156.8,214.2,209.2,233.0,326.5,127.4,154.7,266.4,391.3,123.8,76.1
Abrantes,2024,1327.8,711.1,616.8,202.6,294.3,265.3,247.8,317.8,116.1,152.7,289.8,561.2,126.1,82.1
Aguiar da Beira,2016,180.3,92.3,88.0,28.6,40.3,23.0,42.3,46.1,48.2,22.8,25.8,40.7,24.3,18.5
Aguiar da Beira,2017,164.6,78.7,85.9,26.1,30.3,17.7,40.1,50.5,49.4,23.2,17.7,36.3,14.6,23.4
Aguiar da Beira,2018,162.0,78.0,84.0,22.2,27.4,20.6,34.2,57.7,48.3,22.2,23.5,35.0,9.8,23.2
Aguiar da Beira,2019,133.1,61.2,71.9,16.8,24.1,21.4,20.8,50.0,38.7,18.0,17.0,28.9,12.4,18.1
Aguiar da Beira,2020,137.4,63.3,74.2,14.6,19.9,21.8,28.7,52.4,40.2,22.3,20.0,32.6,8.9,13.4
Aguiar da Beira,2021,135.0,66.0,69.0,16.5,21.8,26.6,25.2,44.9,33.4,22.3,23.7,34.5,11.7,9.4
Aguiar da Beira,2022,98.6,48.3,50.3,13.1,14.7,19.0,16.1,35.8,21.1,15.2,19.3,27.2,9.2,6.8
Aguiar da Beira,2023,88.4,42.5,45.9,10.7,14.0,19.1,14.5,30.2,14.8,14.8,13.3,24.6,13.0,7.9
Aguiar da Beira,2024,81.8,37.9,43.8,8.7,12.9,15.7,15.1,29.4,15.7,11.3,15.7,21.7,10.8,6.6
Alandroal,2016,278.2,146.3,131.8,40.1,56.5,65.6,71.3,44.8,64.4,62.2,56.1,61.9,21.9,11.7
Alandroal,2017,220.7,125.9,94.8,33.1,44.3,54.0,49.8,39.5,50.6,43.4,42.8,57.6,16.3,10.0
Alandroal,2018,164.6,99.8,64.8,22.0,28.6,40.1,40.5,33.4,34.9,30.0,35.2,46.3,13.1,5.1
Alandroal,2019,156.8,101.8,54.9,26.3,24.8,35.4,35.8,34.4,33.3,31.8,30.2,47.0,11.4,3.1
Alandroal,2020,145.8,99.7,46.2,22.1,14.8,33.6,36.2,39.2,33.3,28.1,27.2,42.5,11.7,3.1
Alandroal,2021,98.3,65.0,33.3,14.4,9.8,22.3,19.8,31.9,17.9,15.7,20.2,33.3,9.3,1.9
Alandroal,2022,88.3,56.0,32.3,10.7,12.8,18.7,22.7,23.5,17.8,16.2,18.3,24.3,9.1,2.7
Alandroal,2023,83.5,49.8,33.7,10.0,9.6,16.5,22.7,24.8,16.1,13.1,15.8,24.7,10.6,3.3
Alandroal,2024,81.1,47.7,33.4,7.1,12.8,19.3,17.9,23.9,12.5,17.6,15.3,25.0,6.8,3.8
Albergaria-a-Velha,2016,895.6,540.6,355.0,138.7,178.1,179.7,186.7,212.5,169.1,164.3,161.8,198.5,118.9,83.0
Albergaria-a-Velha,2017,716.4,428.0,288.4,108.2,146.5,135.8,148.1,177.9,135.4,113.6,119.7,162.2,111.3,74.3
Albergaria-a-Velha,2018,576.8,362.7,214.1,73.4,117.3,114.8,112.7,158.5,95.8,84.3,92.8,140.3,91.6,71.9
Albergaria-a-Velha,2019,485.9,306.6,179.3,61.8,90.8,106.0,102.2,125.1,72.0,81.0,76.1,124.7,73.4,58.8
Albergaria-a-Velha,2020,645.7,392.8,252.8,89.4,136.4,153.3,129.4,137.1,73.9,115.8,132.8,185.7,83.3,54.1
Albergaria-a-Velha,2021,576.6,343.3,233.3,79.6,117.7,118.3,115.8,145.3,66.3,108.2,113.7,156.0,71.1,61.3
Albergaria-a-Velha,2022,474.3,293.0,181.3,54.1,91.4,92.3,97.7,138.9,59.8,85.0,91.4,130.8,52.3,55.2
Albergaria-a-Velha,2023,505.9,326.4,179.5,60.0,97.0,113.9,112.3,122.8,55.9,79.6,107.2,166.4,53.8,43.1
Albergaria-a-Velha,2024,516.2,315.1,201.1,73.4,117.5,106.7,105.9,112.7,49.5,71.5,105.0,196.5,52.7,41.0
Albufeira,2016,2196.4,1181.8,1014.7,254.1,528.9,534.6,481.6,397.3,309.7,330.4,517.8,772.0,182.5,84.1
Albufeira,2017,1960.6,1055.4,905.2,220.5,484.1,472.5,422.7,360.8,258.1,282.9,461.5,719.6,150.0,88.5
Albufeira,2018,1855.8,1017.9,837.8,194.1,465.0,458.5,390.9,347.3,208.6,259.7,429.9,730.0,137.1,90.5
Albufeira,2019,1911.9,1036.7,875.3,192.4,507.2,462.4,395.8,354.1,186.8,247.5,430.8,820.3,122.5,104.1
Albufeira,2020,4754.8,2517.5,2237.3,514.8,1410.3,1140.1,931.8,757.8,403.3,551.2,1055.2,2276.2,229.2,239.8
Albufeira,2021,4376.2,2362.3,2013.8,402.3,1205.4,1075.2,881.1,812.2,356.8,496.7,936.5,1943.6,226.0,416.6
Albufeira,2022,2338.1,1259.6,1078.5,213.6,632.4,556.7,448.6,486.8,172.1,242.1,423.8,906.0,120.4,473.8
Albufeira,2023,2278.5,1179.1,1099.4,224.1,674.4,532.8,416.9,430.3,133.3,216.4,410.0,1129.0,109.6,280.3
Albufeira,2024,2591.5,1286.2,1305.3,261.3,825.5,607.3,464.6,432.8,160.1,223.2,478.2,1389.3,113.2,227.7
Alcanena,2016,402.7,223.6,179.1,59.1,87.9,91.3,93.3,71.0,50.4,67.9,90.3,125.9,59.9,8.3
Alcanena,2017,324.2,192.3,131.8,46.0,71.7,72.5,72.5,61.5,34.8,49.7,68.8,113.5,50.6,6.8
Alcanena,2018,275.3,173.2,102.2,32.4,56.0,60.3,64.3,62.3,35.1,39.3,56.4,97.1,41.6,5.8
Alcanena,2019,201.5,128.2,73.3,30.2,42.0,39.3,46.3,43.8,20.3,28.7,43.8,69.8,34.1,4.9
Alcanena,2020,256.0,141.5,114.5,35.8,51.9,58.9,53.7,55.8,16.8,44.1,57.5,90.5,39.5,7.7
Alcanena,2021,261.0,147.7,113.3,38.4,51.6,55.8,57.7,57.5,25.2,39.3,63.9,84.5,40.3,7.8
Alcanena,2022,236.8,134.3,102.4,29.1,48.3,50.6,51.8,57.0,20.5,37.5,48.9,79.8,38.4,11.6
Alcanena,2023,235.1,131.0,104.1,30.3,52.5,51.5,51.7,49.1,14.3,35.9,46.8,93.5,33.1,11.5
Alcanena,2024,279.5,152.2,127.3,27.0,61.6,61.0,66.3,63.7,19.8,45.2,63.8,115.2,25.3,10.3
Alcobaça,2016,1768.8,973.1,795.7,252.4,352.8,369.3,386.3,407.9,330.2,258.8,373.3,468.4,263.0,75.0
Alcobaça,2017,1538.5,856.9,681.6,222.7,294.6,322.1,320.8,378.3,289.4,203.3,313.9,429.0,225.0,77.8
Alcobaça,2018,1166.9,691.0,475.9,155.5,215.3,236.6,231.0,328.5,205.4,140.9,240.6,337.1,184.3,58.7
Alcobaça,2019,1003.3,587.8,415.5,135.9,181.5,187.8,197.2,300.9,169.1,128.3,201.3,299.5,158.9,46.1
Alcobaça,2020,1340.3,786.4,553.8,190.2,281.5,249.4,268.6,350.6,172.2,154.1,308.0,450.5,195.3,60.3
Alcobaça,2021,1213.9,703.3,510.7,179.6,230.0,218.8,225.2,360.4,168.0,144.0,238.8,402.5,196.0,64.6
Alcobaça,2022,1087.5,628.8,458.8,173.8,219.7,186.9,194.8,312.3,145.2,132.8,226.6,338.0,161.5,83.5
Alcobaça,2023,1205.1,669.9,535.2,183.8,247.5,222.3,226.6,324.8,137.0,161.8,264.8,429.6,131.0,80.8
Alcobaça,2024,1171.1,658.8,512.3,165.9,242.3,240.4,222.3,300.3,106.8,144.1,250.3,464.9,118.3,86.6
Alcochete,2016,766.5,388.5,378.0,87.3,150.1,199.3,194.4,135.4,123.0,99.2,174.8,232.7,112.6,24.3
Alcochete,2017,649.8,343.0,306.8,64.9,109.8,172.6,182.3,120.3,99.1,87.8,146.5,198.5,99.8,18.2
Alcochete,2018,523.8,267.4,256.4,50.0,89.3,123.4,147.0,114.2,73.7,66.9,117.2,164.8,83.3,18.0
Alcochete,2019,415.3,216.4,198.9,38.8,78.8,89.2,103.3,105.3,59.0,50.5,94.3,132.2,68.4,11.0
Alcochete,2020,522.3,279.9,242.3,54.3,102.6,121.9,125.1,118.3,58.8,65.2,112.0,178.7,93.5,14.2
Alcochete,2021,550.4,291.4,259.0,55.3,102.1,126.3,131.3,135.4,56.1,73.3,122.6,186.8,94.0,17.7
Alcochete,2022,446.5,244.0,202.5,35.1,74.8,92.8,118.3,125.5,47.5,53.5,88.5,151.5,81.3,24.3
Alcochete,2023,391.6,218.7,172.9,31.7,64.4,88.1,98.8,108.6,37.5,54.0,64.8,144.1,66.0,25.3
Alcochete,2024,403.3,218.0,185.3,31.0,74.3,92.7,103.0,102.3,24.7,50.8,73.9,153.8,71.3,28.9
Alcoutim,2016,72.6,33.0,39.6,12.8,8.9,14.0,18.6,18.3,17.7,15.1,14.2,20.9,4.0,0.8
Alcoutim,2017,70.0,31.7,38.3,10.2,8.2,15.2,18.1,18.4,16.3,13.0,15.0,18.4,4.5,2.8
Alcoutim,2018,41.7,18.4,23.3,5.1,6.2,8.9,9.8,11.8,7.9,9.2,7.8,12.2,2.3,2.3
Alcoutim,2019,35.5,14.6,20.9,5.0,4.4,7.6,7.1,11.4,7.7,6.0,7.9,10.8,1.8,1.4
Alcoutim,2020,36.9,13.7,23.3,4.8,7.5,9.1,7.8,7.8,5.5,8.7,8.8,10.0,2.4,1.5
Alcoutim,2021,33.3,15.5,17.8,5.9,5.5,5.5,8.2,8.3,4.3,6.5,3.5,12.3,4.7,2.1
Alcoutim,2022,27.0,12.1,14.9,3.2,4.6,4.1,5.3,9.9,4.6,5.5,2.3,9.1,3.4,2.2
Alcoutim,2023,33.6,14.8,18.8,3.9,9.0,5.8,2.7,12.3,3.8,5.8,3.7,12.3,5.3,2.8
Alcoutim,2024,32.7,15.7,17.0,3.1,7.8,6.3,5.0,11.1,3.0,5.2,4.9,11.8,4.1,3.8
Alcácer do Sal,2016,384.8,205.5,179.3,54.8,88.8,76.9,82.1,82.2,66.5,70.3,82.4,112.6,33.5,19.4
Alcácer do Sal,2017,281.6,154.6,127.0,45.8,59.7,50.9,58.5,66.7,54.3,43.2,59.1,82.9,27.8,14.3
Alcácer do Sal,2018,235.2,140.3,94.8,31.7,42.7,52.9,43.3,64.7,43.8,43.9,48.4,65.8,20.3,12.9
Alcácer do Sal,2019,190.7,114.8,75.8,29.1,30.9,42.3,36.4,51.9,33.5,32.8,40.5,53.4,18.4,12.0
Alcácer do Sal,2020,277.0,170.0,107.0,41.3,51.1,62.8,54.6,67.2,41.3,59.1,59.5,76.8,25.3,15.1
Alcácer do Sal,2021,220.3,129.3,90.9,33.8,43.3,47.7,41.3,54.2,30.3,43.1,40.8,66.1,22.8,17.2
Alcácer do Sal,2022,149.8,85.4,64.4,20.1,29.3,28.1,28.4,44.0,23.1,26.0,27.3,38.3,11.5,23.7
Alcácer do Sal,2023,161.2,94.9,66.3,27.4,34.0,24.2,33.8,41.8,18.5,24.2,37.8,49.3,9.7,21.8
Alcácer do Sal,2024,181.8,108.9,72.8,27.1,40.4,31.8,35.3,47.2,21.8,31.1,36.7,53.7,17.7,20.8
Alenquer,2016,1406.8,774.3,632.5,138.3,251.8,367.8,318.8,330.1,287.7,234.5,281.2,390.1,153.2,60.2
Alenquer,2017,1183.5,669.8,513.7,102.2,230.7,285.3,249.1,316.3,230.2,187.2,239.3,340.5,132.9,53.4
Alenquer,2018,958.7,558.7,400.0,80.7,169.3,241.3,206.3,261.2,171.4,144.8,184.6,304.8,107.1,45.9
Alenquer,2019,965.7,562.9,402.8,90.8,186.9,257.2,210.3,220.5,143.8,137.4,216.5,343.8,88.8,35.3
Alenquer,2020,1483.4,856.8,626.6,167.1,343.9,397.8,304.4,270.3,189.8,196.7,375.6,557.3,114.3,49.9
Alenquer,2021,1578.4,923.3,655.2,178.3,348.8,409.3,336.8,305.3,194.0,208.6,381.5,592.9,122.3,79.1
Alenquer,2022,1261.6,740.3,521.3,129.9,273.6,313.4,262.0,282.7,142.1,163.9,297.3,478.8,100.1,79.5
Alenquer,2023,1290.1,765.3,524.8,115.1,280.1,310.2,285.3,299.4,136.8,172.4,264.0,551.3,92.9,72.6
Alenquer,2024,1371.2,803.8,567.4,139.0,315.2,312.2,303.6,301.3,113.0,173.5,271.8,648.2,99.2,65.6
Alfândega da Fé,2016,354.3,192.8,161.6,45.5,71.8,70.6,73.2,93.3,81.1,62.8,84.2,75.6,35.6,15.1
Alfândega da Fé,2017,300.0,156.3,143.7,38.8,58.8,59.0,64.0,79.3,62.5,50.1,73.6,68.8,30.9,14.2
Alfândega da Fé,2018,263.1,141.9,121.2,32.2,50.8,54.1,52.6,73.5,63.8,37.8,55.8,63.5,23.5,18.8
Alfândega da Fé,2019,215.7,110.7,105.0,23.3,44.5,34.2,50.8,62.9,49.8,35.4,45.3,44.9,18.5,21.8
Alfândega da Fé,2020,194.5,97.8,96.8,22.3,38.0,34.6,42.6,57.0,36.9,38.3,42.6,38.5,17.6,20.7
Alfândega da Fé,2021,214.4,106.7,107.8,25.3,30.7,38.0,40.1,80.3,45.2,45.8,40.8,45.1,13.3,24.3
Alfândega da Fé,2022,202.7,109.7,93.0,26.9,29.1,36.3,42.4,68.0,41.0,39.2,36.5,39.7,15.3,31.1
Alfândega da Fé,2023,180.8,97.8,83.0,28.2,23.3,29.3,39.9,60.1,31.3,30.8,34.5,39.2,12.1,33.0
Alfândega da Fé,2024,211.4,118.5,92.9,27.2,34.7,36.1,44.5,69.0,33.9,38.4,44.7,46.8,14.1,33.5
Alijó,2016,633.8,289.9,343.8,84.5,140.3,106.6,153.0,149.4,175.9,106.2,111.8,126.2,62.1,51.7
Alijó,2017,652.0,294.3,357.7,73.0,144.0,114.6,149.9,170.5,186.3,120.7,129.6,116.2,47.0,52.3
Alijó,2018,589.8,273.3,316.5,58.3,115.2,103.3,132.3,180.8,172.5,102.8,117.0,106.3,40.9,50.3
Alijó,2019,513.8,246.8,267.1,34.2,94.5,88.0,115.1,182.1,162.4,90.5,94.9,78.6,38.3,49.1
Alijó,2020,595.5,284.6,310.9,51.4,109.3,102.2,125.3,207.3,182.9,101.2,110.6,106.9,45.0,48.9
Alijó,2021,573.0,256.1,316.9,44.8,96.7,103.3,118.9,209.3,176.1,94.8,101.8,113.5,41.1,45.8
Alijó,2022,545.6,245.1,300.5,47.5,76.8,100.9,108.9,211.4,162.6,90.1,102.2,102.2,37.0,51.6
Alijó,2023,527.7,241.8,285.9,38.6,68.8,96.8,108.3,215.2,146.2,92.0,100.3,95.1,39.7,54.4
Alijó,2024,506.9,219.4,287.5,44.2,50.2,85.2,112.6,214.8,136.8,96.9,92.7,93.0,35.6,51.9
Aljezur,2016,180.8,85.2,95.6,16.9,31.0,43.8,43.9,45.1,38.0,28.6,34.3,49.4,13.6,16.8
Aljezur,2017,156.3,73.3,83.1,11.0,31.3,34.6,31.1,48.3,30.8,19.2,33.5,45.8,11.6,15.5
Aljezur,2018,134.8,64.9,69.9,8.0,29.2,27.5,26.0,44.2,25.5,17.2,27.9,41.2,8.5,14.6
Aljezur,2019,137.5,71.8,65.8,12.0,25.7,35.1,26.0,38.8,21.3,20.4,29.3,42.3,11.5,12.8
Aljezur,2020,200.0,104.7,95.3,19.5,48.9,51.0,37.4,43.2,23.6,25.5,38.9,77.3,19.5,15.2
Aljezur,2021,185.8,95.1,90.8,16.8,46.6,42.0,39.8,40.7,19.8,20.0,40.3,79.1,15.4,11.3
Aljezur,2022,144.1,70.8,73.3,8.5,34.6,37.0,32.0,32.0,11.1,14.1,32.5,65.3,9.3,11.8
Aljezur,2023,169.3,74.3,94.9,10.8,51.3,43.9,31.3,31.8,10.9,18.1,31.5,77.1,9.5,22.2
Aljezur,2024,199.9,79.3,120.7,12.8,57.1,52.4,35.8,41.8,17.1,13.2,34.8,99.8,10.4,24.7
Aljustrel,2016,405.7,224.3,181.4,57.6,91.5,88.7,90.9,77.0,55.8,54.3,90.2,102.5,35.8,67.2
Aljustrel,2017,318.3,170.5,147.8,43.9,81.4,59.9,68.8,64.2,40.8,41.2,68.0,66.6,22.5,79.3
Aljustrel,2018,318.1,170.3,147.8,45.4,78.7,64.2,68.6,61.3,38.3,46.0,63.8,71.7,17.6,80.7
Aljustrel,2019,252.7,139.9,112.8,39.3,57.0,46.0,55.8,54.7,26.1,32.6,46.0,59.3,17.8,70.8
Aljustrel,2020,288.3,163.3,125.0,45.3,64.5,56.3,58.3,64.0,27.3,47.5,56.2,66.3,21.8,69.2
Aljustrel,2021,276.9,163.9,113.0,42.2,55.4,52.8,52.8,73.7,23.2,43.3,55.2,72.2,18.7,64.5
Aljustrel,2022,194.4,105.8,88.7,25.1,45.5,38.4,41.8,43.6,16.9,25.1,30.6,35.3,15.9,70.7
Aljustrel,2023,224.8,121.5,103.3,31.3,51.2,46.4,45.1,50.8,21.3,37.3,38.6,44.3,13.0,70.3
Aljustrel,2024,245.2,124.2,121.0,32.7,53.5,46.7,49.3,63.1,28.3,39.3,46.6,59.1,13.9,58.0
Almada,2016,8163.3,4296.7,3866.6,812.4,1613.0,1884.4,2026.0,1827.4,1119.8,1367.0,1739.8,2335.4,1148.9,452.3
Almada,2017,7045.3,3803.9,3241.3,644.9,1337.0,1611.8,1705.4,1746.2,979.2,1193.3,1438.6,2032.4,1005.1,396.8
Almada,2018,6150.3,3469.7,2680.6,476.7,1133.6,1429.3,1423.6,1687.1,822.6,968.3,1291.2,1813.6,869.6,385.0
Almada,2019,5217.3,2990.3,2226.9,336.0,925.3,1175.1,1225.1,1555.8,687.7,786.9,1103.7,1592.0,706.2,340.8
Almada,2020,6304.5,3572.5,2732.0,573.3,1453.8,1480.8,1406.8,1389.9,621.3,865.5,1297.6,2229.9,945.2,345.1
Almada,2021,6314.0,3582.6,2731.4,570.1,1444.6,1480.6,1387.7,1431.1,566.2,817.6,1320.5,2227.7,930.8,451.3
Almada,2022,5167.7,2977.7,2190.0,389.2,1003.6,1166.9,1217.8,1390.2,558.4,662.7,1059.2,1788.2,694.7,404.6
Almada,2023,4709.3,2687.5,2021.8,370.1,980.9,1005.4,1086.6,1266.3,453.3,594.3,912.2,1756.8,594.9,397.8
Almada,2024,5578.0,3160.9,2417.1,517.0,1237.3,1258.0,1246.0,1319.7,446.3,741.3,1071.9,2209.0,692.7,416.8
Almeida,2016,180.4,79.2,101.3,23.8,37.1,27.5,39.3,52.8,45.0,27.2,41.5,35.4,19.3,12.0
Almeida,2017,176.4,78.9,97.5,20.4,28.8,23.7,42.8,60.8,48.5,30.6,34.0,38.3,12.8,12.2
Almeida,2018,156.4,70.3,86.1,19.0,27.4,17.1,34.8,58.1,44.3,20.8,33.3,34.4,14.6,8.9
Almeida,2019,126.2,61.3,64.8,13.8,29.5,15.6,20.6,46.7,38.0,15.4,25.7,23.5,16.9,6.7
Almeida,2020,149.5,77.6,71.9,14.9,40.9,17.7,23.0,53.0,44.5,18.8,30.7,29.2,17.3,9.1
Almeida,2021,147.0,70.8,76.3,17.8,31.4,15.7,23.7,58.5,40.8,23.2,31.9,30.6,11.6,9.0
Almeida,2022,104.1,55.1,49.0,10.8,22.1,15.0,19.3,36.9,25.3,13.4,19.6,25.4,14.8,5.6
Almeida,2023,95.4,49.6,45.8,10.4,20.6,16.2,15.1,33.2,19.9,11.9,17.9,26.6,12.3,6.8
Almeida,2024,83.4,40.4,43.0,11.6,19.2,16.3,10.7,25.8,17.8,8.3,16.8,22.3,10.9,7.3
Almeirim,2016,966.0,544.7,421.3,110.0,188.3,220.7,223.5,223.6,213.8,144.5,188.7,244.0,113.4,61.6
Almeirim,2017,752.2,449.8,302.3,82.7,143.8,179.2,163.7,182.9,151.9,123.6,144.7,200.4,89.8,41.8
Almeirim,2018,580.8,354.7,226.1,63.5,115.5,143.8,116.3,141.8,98.7,96.3,108.3,169.1,70.5,37.8
Almeirim,2019,490.8,312.8,177.9,52.2,95.7,111.6,111.3,120.1,82.3,71.0,93.4,145.8,67.9,30.3
Almeirim,2020,591.1,369.3,221.8,66.9,123.8,131.6,124.4,144.3,87.3,81.3,128.4,184.7,73.6,35.8
Almeirim,2021,621.1,369.8,251.3,67.3,134.6,138.8,125.9,154.4,94.5,67.8,128.0,208.3,73.1,49.4
Almeirim,2022,542.7,326.9,215.8,56.1,116.3,124.4,113.0,132.9,65.1,64.8,99.5,167.3,63.8,82.2
Almeirim,2023,576.4,339.7,236.8,65.5,133.2,121.6,120.6,135.6,58.3,73.8,101.5,203.2,65.0,74.7
Almeirim,2024,570.5,336.6,233.9,68.3,124.9,112.9,122.9,141.4,51.3,73.1,107.8,215.2,61.2,62.1
Almodôvar,2016,328.8,200.2,128.7,39.8,64.3,63.0,66.8,94.9,66.3,53.6,75.0,93.3,23.5,17.3
Almodôvar,2017,264.6,166.7,97.9,28.3,48.1,49.3,52.8,86.0,57.0,40.3,55.6,71.7,24.9,15.2
Almodôvar,2018,209.2,138.8,70.3,23.3,30.3,38.1,42.8,74.8,49.2,30.4,41.1,63.6,12.3,12.7
Almodôvar,2019,174.1,119.3,54.8,19.0,27.3,27.8,38.1,61.9,32.0,23.3,40.7,54.6,11.3,12.3
Almodôvar,2020,214.3,121.9,92.3,29.8,34.4,39.4,46.5,64.2,30.3,26.8,47.8,68.1,20.3,21.0
Almodôvar,2021,195.4,124.8,70.6,24.3,21.8,39.4,42.7,67.3,32.9,20.7,46.6,59.8,18.9,16.5
Almodôvar,2022,158.6,100.5,58.1,19.1,15.5,24.9,37.2,61.9,30.2,20.3,37.9,38.4,8.1,23.8
Almodôvar,2023,129.0,86.3,42.8,16.8,20.7,26.1,24.1,41.4,20.7,16.2,23.9,43.2,8.4,16.7
Almodôvar,2024,134.0,82.9,51.1,13.4,21.8,24.6,28.5,45.8,23.5,13.4,26.3,38.1,8.6,24.1
Alpiarça,2016,285.9,165.3,120.7,27.9,50.5,66.2,65.9,75.4,61.7,40.8,64.5,57.8,43.5,17.7
Alpiarça,2017,206.9,118.4,88.5,20.2,37.5,47.0,45.0,57.3,40.2,32.3,44.8,49.3,29.0,11.5
Alpiarça,2018,167.7,98.7,69.0,14.2,25.1,35.7,40.5,52.3,30.3,26.0,36.3,39.6,24.5,11.0
Alpiarça,2019,135.2,86.8,48.3,15.8,24.3,25.3,29.3,40.4,23.0,18.9,29.3,34.4,22.1,7.5
Alpiarça,2020,173.9,103.7,70.3,23.9,32.8,28.0,34.3,54.9,23.3,26.0,44.3,46.5,26.6,7.3
Alpiarça,2021,178.6,110.3,68.3,23.6,34.4,33.9,32.6,54.1,27.0,20.8,39.2,52.1,30.9,8.7
Alpiarça,2022,148.7,89.5,59.2,16.7,34.4,28.5,27.5,41.6,20.0,20.8,27.7,45.5,21.0,13.8
Alpiarça,2023,170.3,89.1,81.2,21.3,34.8,31.8,36.9,45.4,26.5,21.3,36.8,49.8,24.5,11.4
Alpiarça,2024,172.6,89.8,82.8,22.6,37.2,33.9,42.6,36.3,15.4,20.6,42.0,59.7,23.8,11.1
Alter do Chão,2016,181.9,96.7,85.3,29.3,47.9,43.8,31.8,29.2,39.0,31.0,32.3,39.4,9.4,30.8
Alter do Chão,2017,157.5,87.6,69.9,27.8,38.3,29.1,30.8,31.4,29.8,26.6,28.8,28.8,13.8,29.8
Alter do Chão,2018,135.8,71.6,64.2,22.1,26.9,28.7,28.7,29.4,26.8,22.6,23.8,27.2,7.8,27.7
Alter do Chão,2019,132.2,73.8,58.3,25.3,30.3,27.2,24.5,24.8,24.0,17.3,25.2,29.4,12.0,24.3
Alter do Chão,2020,130.8,65.4,65.3,19.8,31.2,28.9,23.8,27.2,21.3,18.6,20.3,37.4,12.2,21.0
Alter do Chão,2021,126.5,66.5,60.0,16.9,28.3,28.5,22.0,30.8,23.2,17.6,22.6,31.1,9.9,22.2
Alter do Chão,2022,114.7,55.8,58.8,17.3,21.5,28.2,23.9,23.8,17.9,15.8,20.7,31.4,8.0,20.8
Alter do Chão,2023,124.7,59.8,64.9,20.3,22.3,30.8,23.7,27.6,16.0,22.0,21.0,33.8,8.5,23.3
Alter do Chão,2024,122.6,59.0,63.6,14.3,27.6,30.7,22.6,27.4,17.2,20.3,20.5,32.6,5.6,26.4
Alvaiázere,2016,265.0,150.3,114.7,38.0,40.6,57.6,60.3,68.5,70.4,34.8,54.1,64.7,28.3,12.8
Alvaiázere,2017,193.4,116.1,77.3,31.0,28.2,34.5,40.9,58.8,51.3,20.8,37.5,49.8,21.3,12.8
Alvaiázere,2018,150.3,91.5,58.8,21.5,30.3,24.6,30.1,43.8,35.6,18.2,32.8,41.3,14.5,8.1
Alvaiázere,2019,130.4,81.4,49.0,21.5,27.8,21.3,20.8,39.1,23.4,20.4,21.7,41.8,17.5,5.7
Alvaiázere,2020,130.6,80.4,50.2,23.3,25.3,19.5,25.3,37.3,24.4,16.0,27.3,41.7,18.2,3.1
Alvaiázere,2021,119.2,76.3,42.9,18.3,12.5,18.3,26.8,43.3,27.7,12.7,17.8,40.9,16.9,3.2
Alvaiázere,2022,110.4,63.6,46.8,13.3,13.9,17.3,23.0,42.9,24.3,12.1,19.5,36.1,11.3,7.3
Alvaiázere,2023,115.7,64.1,51.6,14.4,16.3,18.0,22.6,44.3,22.7,13.1,23.8,37.3,10.9,7.9
Alvaiázere,2024,112.5,59.4,53.1,9.8,15.3,23.8,25.4,38.1,26.1,14.2,18.7,33.4,10.9,9.3
Alvito,2016,125.3,75.8,49.6,18.9,27.6,30.2,23.2,25.5,21.0,23.7,26.0,34.2,9.8,10.7
Alvito,2017,75.5,48.1,27.4,10.8,17.0,18.8,11.8,17.3,11.1,12.5,12.6,25.6,6.1,7.7
Alvito,2018,61.1,35.1,26.0,10.8,12.1,14.2,13.1,11.0,12.3,10.6,12.0,17.6,3.7,4.9
Alvito,2019,61.7,32.4,29.3,14.7,12.0,11.8,14.3,8.8,10.5,8.9,15.5,18.5,1.1,7.2
Alvito,2020,68.3,37.4,30.9,11.8,15.4,14.5,15.2,11.5,14.6,10.6,13.8,17.0,4.9,7.4
Alvito,2021,70.9,39.8,31.2,12.2,13.6,14.3,14.6,16.3,14.0,8.8,13.7,20.2,7.4,6.8
Alvito,2022,77.5,43.0,34.5,14.8,17.0,13.1,13.8,18.8,13.2,8.3,15.3,22.3,7.2,11.3
Alvito,2023,76.5,46.2,30.3,13.8,15.3,11.7,11.6,24.1,10.6,10.0,17.4,23.6,5.3,9.7
Alvito,2024,74.4,41.7,32.8,13.8,14.8,12.5,10.8,22.6,10.3,7.5,14.4,24.7,8.7,8.9
Amadora,2016,8062.6,4158.2,3904.4,858.7,1699.2,1811.9,1823.1,1869.8,1294.8,1234.2,1721.0,2267.3,984.3,561.0
