territory,year,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Serpa,2020,665.0,352.0,313.0,88.7,148.3,136.9,148.7,142.4,86.8,114.4,146.5,146.6,42.6,128.2
Serpa,2021,617.7,328.3,289.3,86.1,126.2,120.8,143.0,141.7,80.8,119.6,125.0,147.8,39.5,104.9
Serpa,2022,579.2,321.1,258.1,82.5,106.7,107.3,139.8,142.8,79.7,119.8,111.3,125.4,32.8,110.2
Serpa,2023,579.2,312.9,266.3,86.6,112.8,96.2,125.6,158.1,92.3,114.7,116.9,126.2,22.8,106.4
Serpa,2024,622.4,332.7,289.8,93.3,118.6,108.4,132.3,169.8,88.1,131.3,129.1,135.3,22.2,116.5
Sertã,2016,609.3,352.1,257.3,106.6,140.5,118.4,128.3,115.6,83.8,69.8,152.9,216.1,62.2,24.6
Sertã,2017,537.1,327.7,209.4,95.2,112.8,102.7,118.6,107.9,75.3,66.1,129.5,189.5,58.9,17.8
Sertã,2018,409.8,271.4,138.3,60.9,75.3,85.1,89.8,98.7,49.3,54.4,102.8,141.1,48.0,14.2
Sertã,2019,373.3,247.8,125.5,61.0,72.3,74.9,80.7,84.4,44.5,49.7,77.2,132.7,54.6,14.8
Sertã,2020,473.6,308.6,165.0,69.6,82.3,95.4,117.8,108.4,51.3,64.8,104.0,189.0,51.7,12.9
Sertã,2021,412.9,264.9,148.0,60.4,71.6,72.5,81.5,126.9,50.3,52.5,89.8,161.8,46.5,12.0
Sertã,2022,396.3,252.1,144.2,65.9,71.7,79.1,67.0,112.6,42.8,44.2,87.8,166.4,47.7,7.3
Sertã,2023,428.7,260.3,168.3,73.2,80.9,84.9,69.4,120.3,39.0,45.3,89.1,201.7,44.7,9.0
Sertã,2024,465.3,289.0,176.3,75.7,103.4,96.1,76.6,113.5,31.8,48.8,95.9,233.8,43.8,11.2
Sesimbra,2016,1877.6,1042.6,835.0,196.1,380.8,469.8,454.2,376.8,234.3,270.3,452.3,598.2,273.2,49.3
Sesimbra,2017,1585.3,900.2,685.2,148.1,306.7,399.5,394.3,336.8,195.9,244.3,379.0,515.6,207.5,43.1
Sesimbra,2018,1282.9,752.8,530.2,105.4,235.9,321.8,299.3,320.5,153.2,208.9,289.8,414.3,170.0,46.7
Sesimbra,2019,1136.3,693.0,443.3,96.1,207.5,285.0,241.2,306.6,129.6,166.3,243.6,390.2,166.3,40.4
Sesimbra,2020,1449.5,860.9,588.6,163.2,292.7,354.9,316.4,322.3,138.3,205.6,315.0,551.6,187.7,51.4
Sesimbra,2021,1377.8,820.7,557.2,139.1,285.6,347.8,302.4,303.0,113.9,168.5,314.2,521.6,198.9,60.8
Sesimbra,2022,1136.8,651.4,485.4,110.5,221.0,274.4,242.6,288.3,88.3,138.6,273.2,421.9,161.9,52.9
Sesimbra,2023,1201.1,689.2,511.9,119.1,233.3,266.3,259.9,322.6,94.2,131.8,268.9,481.9,149.3,74.9
Sesimbra,2024,1379.9,787.6,592.3,146.1,285.5,294.3,309.2,344.8,107.4,138.3,277.9,589.6,176.6,90.2
Setúbal,2016,6022.9,3280.5,2742.4,683.7,1271.5,1451.6,1311.4,1304.8,812.9,948.6,1368.0,1708.7,730.3,454.4
Setúbal,2017,5000.3,2752.7,2247.7,550.6,980.4,1169.1,1087.3,1212.9,657.2,714.6,1158.3,1457.5,629.8,383.0
Setúbal,2018,4030.6,2244.3,1786.3,389.7,760.2,902.6,846.2,1132.0,491.7,550.7,947.3,1202.3,503.6,335.1
Setúbal,2019,3510.8,1953.5,1557.3,365.3,656.1,773.9,716.7,998.9,356.2,452.7,813.8,1110.8,446.2,331.2
Setúbal,2020,4886.8,2622.7,2264.2,560.9,1069.3,1114.9,1005.6,1136.2,435.0,648.6,1153.9,1709.2,557.3,382.8
Setúbal,2021,4735.9,2558.7,2177.3,482.3,1039.4,1077.6,1042.3,1094.3,384.7,619.6,1077.8,1569.6,547.3,536.9
Setúbal,2022,4173.3,2311.6,1861.7,451.3,851.1,877.4,970.4,1023.0,382.3,530.9,859.1,1350.8,451.3,598.8
Setúbal,2023,4166.8,2300.7,1866.1,497.5,877.8,880.7,926.3,984.5,363.4,448.2,830.8,1481.6,411.0,631.8
Setúbal,2024,4364.0,2372.3,1991.8,553.5,1004.6,944.3,915.1,946.5,338.5,496.6,878.3,1796.1,427.6,427.0
Sever do Vouga,2016,419.6,239.7,179.9,49.5,67.8,77.5,96.3,128.5,76.1,99.3,84.6,90.7,58.8,10.2
Sever do Vouga,2017,355.6,202.3,153.3,49.8,68.5,53.9,66.8,116.6,65.9,74.1,67.1,80.5,58.4,9.6
